n,r3
798,192
799,0
800,84
801,432
802,144
803,240
804,144
805,192
806,336
807,0
808,72
809,384
810,408
811,168
812,96
813,144
814,144
815,0
816,48
817,144
818,336
819,240
820,96
821,360
822,240
823,0
824,240
825,336
826,144
827,168
828,0
829,264
830,240
831,0
832,24
833,336
834,192
835,144
836,240
837,192
838,168
839,0
840,96
841,174
842,312
843,144
844,72
845,360
846,480
847,0
848,72
849,336
850,240
851,240
852,96
853,120
854,528
855,0
856,72
857,384
858,192
859,168
860,0
861,288
862,96
863,0
864,96
865,192
866,528
867,152
868,96
869,384
870,192
871,0
872,120
873,240
874,240
875,288
876,96
877,120
878,240
879,0
880,0
881,480
882,324
883,72
884,192
885,288
886,216
887,0
888,144
889,192
890,288
891,216
892,0
893,336
894,336
895,0
896,48
897,192
898,144
899,336
900,150
901,288
902,336
903,0
904,96
905,288
906,336
907,72
908,120
909,504
910,192
911,0
912,48
913,144
914,432
915,192
916,120
917,240
918,192
919,0
920,240
921,240
922,216
923,240
924,0
925,168
926,480
927,0
928,24
929,432
930,288
931,168
932,144
933,192
934,312
935,0
936,216
937,240
938,192
939,192
940,48
941,552
942,144
943,0
944,72
945,384
946,192
947,120
948,144
949,144
950,504
951,0
952,96
953,384
954,360
955,96
956,0
957,192
958,192
959,0
960,0
961,198
962,336
963,216
964,144
965,528
966,288
967,0
968,132
969,288
970,144
971,360
972,104
973,144
974,432
975,0
976,72
977,240
978,288
979,192
980,168
981,360
982,120
983,0
984,144
985,288
986,528
987,192
988,0
989,432
990,432
991,0
992,96
993,144
994,192
995,192
996,144
997,168
998,312
999,0
1000,144
1001,480
1002,192
1003,96
1004,168
1005,192
1006,240
1007,0
1008,0
1009,240
1010,336
1011,288
1012,48
1013,312
1014,360
1015,0
1016,192
1017,288
1018,216
1019,312
1020,0
1021,264
1022,384
1023,0
1024,6
1025,480
1026,384
1027,96
1028,192
1029,384
1030,144
1031,0
1032,96
1033,144
1034,528
1035,240
1036,96
1037,240
1038,144
1039,0
1040,96
1041,432
1042,144
1043,192
1044,216
1045,192
1046,504
1047,0
1048,72
1049,528
1050,336
1051,120
1052,0
1053,408
1054,192
1055,0
1056,96
1057,192
1058,300
1059,144
1060,96
1061,312
1062,360
1063,0
1064,240
1065,192
1066,240
1067,288
1068,48
1069,360
1070,432
1071,0
1072,24
1073,288
1074,384
1075,168
1076,264
1077,288
1078,216
1079,0
1080,192
1081,192
1082,264
1083,152
1084,0
1085,384
1086,336
1087,0
1088,48
1089,390
1090,144
1091,408
1092,96
1093,120
1094,312
1095,0
1096,144
1097,432
1098,360
1099,144
1100,120
1101,336
1102,240
1103,0
1104,96
1105,192
1106,576
1107,192
1108,72
1109,600
1110,192
1111,0
1112,168
1113,192
1114,264
1115,240
1116,0
1117,168
1118,432
1119,0
1120,48
1121,528
1122,192
1123,120
1124,240
1125,432
1126,264
1127,0
1128,96
1129,192
1130,528
1131,192
1132,72
1133,336
1134,432
1135,0
1136,0
1137,240
1138,144
1139,384
1140,192
1141,288
1142,216
1143,0
1144,144
1145,288
1146,384
1147,144
1148,0
1149,192
1150,240
1151,0
1152,36
1153,192
1154,672
1155,192
1156,102
1157,336
1158,288
1159,0
1160,240
1161,576
1162,144
1163,168
1164,96
1165,240
1166,432
1167,0
1168,48
1169,576
1170,240
1171,168
1172,216
1173,288
1174,360
1175,0
1176,168
1177,144
1178,192
1179,360
1180,0
1181,552
1182,240
1183,0
1184,120
1185,192
1186,288
1187,216
1188,192
1189,240
1190,480
1191,0
1192,72
1193,432
1194,336
1195,192
1196,192
1197,240
1198,144
1199,0
1200,56
1201,192
1202,288
1203,144
1204,96
1205,480
1206,504
1207,0
1208,144
1209,480
1210,264
1211,336
1212,0
1213,120
1214,480
1215,0
1216,24
1217,384
1218,288
1219,144
1220,192
1221,384
1222,144
1223,0
1224,240
1225,270
1226,504
1227,96
1228,72
1229,456
1230,288
1231,0
1232,96
1233,288
1234,288
1235,288
1236,144
1237,168
1238,504
1239,0
1240,96
1241,384
1242,384
1243,96
1244,0
1245,384
1246,192
1247,0
1248,48
1249,384
1250,444
1251,360
1252,96
1253,384
1254,288
1255,0
1256,312
1257,240
1258,144
1259,360
1260,144
1261,240
1262,432
1263,0
1264,0
1265,480
1266,384
1267,144
1268,120
1269,384
1270,240
1271,0
1272,144
1273,240
1274,504
1275,240
1276,0
1277,408
1278,240
1279,0
1280,24
1281,288
1282,144
1283,264
1284,240
1285,144
1286,696
1287,0
1288,96
1289,432
1290,192
1291,216
1292,96
1293,288
1294,336
1295,0
1296,102
1297,144
1298,384
1299,192
1300,168
1301,600
1302,192
1303,0
1304,264
1305,480
1306,216
1307,264
1308,0
1309,288
1310,432
1311,0
1312,48
1313,288
1314,576
1315,144
1316,288
1317,240
1318,120
1319,0
1320,96
1321,288
1322,504
1323,224
1324,72
1325,504
1326,480
1327,0
1328,72
1329,432
1330,288
1331,288
1332,120
1333,240
1334,384
1335,0
1336,144
1337,288
1338,240
1339,192
1340,0
1341,504
1342,240
1343,0
1344,48
1345,192
1346,336
1347,144
1348,96
1349,672
1350,480
1351,0
1352,180
1353,192
1354,264
1355,288
1356,144
1357,192
1358,288
1359,0
1360,48
1361,720
1362,288
1363,144
1364,336
1365,192
1366,216
1367,0
1368,216
1369,222
1370,528
1371,288
1372,0
1373,216
1374,336
1375,0
1376,120
1377,432
1378,240
1379,384
1380,96
1381,312
1382,456
1383,0
1384,120
1385,576
1386,480
1387,96
1388,120
1389,336
1390,240
1391,0
1392,0
1393,192
1394,576
1395,288
1396,168
1397,288
1398,240
1399,0
1400,240
1401,336
1402,168
1403,336
1404,0
1405,288
1406,528
1407,0
1408,24
1409,432
1410,384
1411,96
1412,192
1413,360
1414,336
1415,0
1416,192
1417,192
1418,408
1419,288
1420,96
1421,648
1422,288
1423,0
1424,144
1425,336
1426,384
1427,360
1428,96
1429,264
1430,384
1431,0
1432,72
1433,432
1434,384
1435,96
1436,0
1437,288
1438,192
1439,0
1440,120
1441,336
1442,288
1443,192
1444,126
1445,456
1446,384
1447,0
1448,216
1449,576
1450,168
1451,312
1452,104
1453,168
1454,720
1455,0
1456,48
1457,288
1458,324
1459,264
1460,240
1461,336
1462,192
1463,0
1464,144
1465,192
1466,696
1467,120
1468,0
1469,672
1470,432
1471,0
1472,0
1473,336
1474,192
1475,360
1476,288
1477,192
1478,360
1479,0
1480,144
1481,624
1482,288
1483,168
1484,192
1485,384
1486,240
1487,0
1488,48
1489,240
1490,432
1491,288
1492,120
1493,264
