== scout: M=8 ic=adv nu=0.05 dt=0.00025 steps=24000 lambda=0.05 E0=144 engine=fft modes=2109 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,6.931937194e3,3.541327369e5,-7.286794014e4,1.782e-11,-210.238316,-4.115290
40,0.010000,1.379309033e2,5.472815302e3,2.496867123e5,-2.417406471e4,2.574e-10,-88.342337,-1.936352
80,0.020000,1.327837880e2,4.897673761e3,2.162274821e5,-5.073825560e3,2.336e-10,-20.719328,-0.469304
120,0.030000,1.279744846e2,4.793333120e3,2.155855117e5,1.571197662e4,1.980e-10,65.557624,1.457610
160,0.040000,1.231323834e2,4.857457740e3,2.266706398e5,7.396417112e3,2.064e-10,30.453861,0.652614
200,0.050000,1.183652837e2,4.646819151e3,2.164887794e5,-1.680259332e3,2.599e-10,-7.231869,-0.155228
240,0.060000,1.138254253e2,4.439317680e3,2.059641668e5,-7.969293713e2,2.702e-10,-3.590324,-0.077385
280,0.070000,1.095221729e2,4.149251591e3,1.893740187e5,-6.655557357e3,2.210e-10,-32.080761,-0.702901
320,0.080000,1.055237478e2,3.861298334e3,1.746706418e5,-3.516678324e3,1.924e-10,-18.215004,-0.402664
360,0.090000,1.017721597e2,3.653723544e3,1.655745413e5,-3.985173316e2,1.701e-10,-2.181431,-0.048138
400,0.100000,9.819578967e1,3.507348264e3,1.593585543e5,1.789903396e3,1.497e-10,10.206591,0.224639
440,0.110000,9.474451080e1,3.400534101e3,1.551438730e5,3.184480807e3,1.282e-10,18.729298,0.410520
480,0.120000,9.138560030e1,3.320622023e3,1.524366753e5,4.035716752e3,9.348e-11,24.306993,0.529494
520,0.130000,8.810031767e1,3.249712920e3,1.498459389e5,3.856177369e3,5.716e-11,23.732419,0.514686
560,0.140000,8.488809320e1,3.173749481e3,1.466098866e5,3.406694139e3,3.646e-11,21.467946,0.464729
600,0.150000,8.175385572e1,3.094611529e3,1.432473832e5,3.197380258e3,4.682e-11,20.664179,0.446414
640,0.160000,7.869900502e1,3.014824404e3,1.401641373e5,2.959009073e3,7.211e-11,19.629727,0.422221
680,0.170000,7.572572282e1,2.930302750e3,1.369753429e5,2.364340178e3,8.112e-11,16.137173,0.345221
720,0.180000,7.284301060e1,2.832022699e3,1.327376172e5,1.232918130e3,7.335e-11,8.706979,0.185768
760,0.190000,7.006831479e1,2.714421832e3,1.268608555e5,6.877975577e1,6.895e-11,0.506773,0.010843
800,0.200000,6.741779303e1,2.586179546e3,1.199902838e5,-4.102144206e2,6.591e-11,-3.172358,-0.068375
840,0.210000,6.489436622e1,2.462385282e3,1.132989666e5,-2.411006451e2,5.986e-11,-1.958269,-0.042560
880,0.220000,6.248884753e1,2.350832752e3,1.073949277e5,1.142647597e2,5.398e-11,0.972122,0.021279
920,0.230000,6.018861477e1,2.251480619e3,1.023201550e5,4.142571408e2,5.434e-11,3.679864,0.080973
960,0.240000,5.798267669e1,2.161720589e3,9.794730470e4,5.921865007e2,6.286e-11,5.478844,0.120919
1000,0.250000,5.586317679e1,2.077950258e3,9.404603863e4,5.996304969e2,7.805e-11,5.771365,0.127519
1040,0.260000,5.382595409e1,1.996725622e3,9.034510030e4,4.859398670e2,9.708e-11,4.867367,0.107574
1080,0.270000,5.186937377e1,1.916624894e3,8.669016769e4,3.611960340e2,1.162e-10,3.769084,0.083330
1120,0.280000,4.999217020e1,1.838144515e3,8.306429293e4,2.886229083e2,1.315e-10,3.140372,0.069494
1160,0.290000,4.819216042e1,1.762431485e3,7.951342105e4,2.777478648e2,1.398e-10,3.151871,0.069862
1200,0.300000,4.646603752e1,1.690512255e3,7.609966318e4,3.159256211e2,1.414e-10,3.737632,0.083029
1240,0.310000,4.480967478e1,1.622952238e3,7.287524419e4,3.757779053e2,1.390e-10,4.630794,0.103129
1280,0.320000,4.321871185e1,1.559634145e3,6.985435461e4,4.225065630e2,1.355e-10,5.418021,0.120968
1320,0.330000,4.168923046e1,1.499837406e3,6.700610826e4,4.327686730e2,1.302e-10,5.770875,0.129173
1360,0.340000,4.021817371e1,1.442638972e3,6.427928413e4,4.056174809e2,1.214e-10,5.623271,0.126205
1400,0.350000,3.880332651e1,1.387333327e3,6.163543955e4,3.571592389e2,1.079e-10,5.148860,0.115894
1440,0.360000,3.744297857e1,1.333625453e3,5.906552078e4,3.077653380e2,9.081e-11,4.615469,0.104212
1480,0.370000,3.613552541e1,1.281573368e3,5.658471488e4,2.715107420e2,7.297e-11,4.237147,0.095966
1520,0.380000,3.487920741e1,1.231392889e3,5.421537387e4,2.520207684e2,5.770e-11,4.093263,0.092970
1560,0.390000,3.367205450e1,1.183262744e3,5.197125163e4,2.446225445e2,4.626e-11,4.134712,0.094138
1600,0.400000,3.251198329e1,1.137224005e3,4.985129650e4,2.418447101e2,3.815e-11,4.253247,0.097026
1640,0.410000,3.139693739e1,1.093190837e3,4.784330684e4,2.383521683e2,3.107e-11,4.360669,0.099639
1680,0.420000,3.032497940e1,1.051025215e3,4.593215009e4,2.328591537e2,2.349e-11,4.431086,0.101393
1720,0.430000,2.929430402e1,1.010610361e3,4.410649909e4,2.270680313e2,1.479e-11,4.493681,0.102964
1760,0.440000,2.830319692e1,9.718822047e2,4.236095482e4,2.233181682e2,5.998e-12,4.595581,0.105436
1800,0.450000,2.734998556e1,9.348163512e2,4.069403193e4,2.227103808e2,-1.157e-12,4.764794,0.109456
1840,0.460000,2.643301630e1,8.993933169e2,3.910453753e4,2.245508639e2,-5.272e-12,4.993385,0.114846
1880,0.470000,2.555066580e1,8.655683912e2,3.758885648e4,2.269457670e2,-5.595e-12,5.243855,0.120752
1920,0.480000,2.470137337e1,8.332609715e2,3.614035507e4,2.278599015e2,-2.411e-12,5.469113,0.126097
1960,0.490000,2.388367374e1,8.023636701e2,3.475067586e4,2.259922943e2,3.461e-12,5.633164,0.130065
2000,0.500000,2.309621421e1,7.727623113e2,3.341187725e4,2.211486460e2,1.082e-11,5.723588,0.132377
2040,0.510000,2.233775103e1,7.443561156e2,3.211831132e4,2.141179609e2,1.829e-11,5.753105,0.133331
2080,0.520000,2.160712877e1,7.170705541e2,3.086755911e4,2.062461587e2,2.497e-11,5.752465,0.133633
2120,0.530000,2.090325179e1,6.908602037e2,2.966028366e4,1.989363999e2,3.025e-11,5.759093,0.134143
2160,0.540000,2.022505746e1,6.657029802e2,2.849926325e4,1.932493881e2,3.389e-11,5.805874,0.135617
2200,0.550000,1.957149797e1,6.415893574e2,2.738804453e4,1.896892633e2,3.611e-11,5.913105,0.138520
2240,0.560000,1.894153368e1,6.185106318e2,2.632964410e4,1.881828487e2,3.719e-11,6.085032,0.142944
2280,0.570000,1.833413734e1,5.964495026e2,2.532560559e4,1.882076488e2,3.758e-11,6.310933,0.148630
2320,0.580000,1.774830569e1,5.753748212e2,2.437555670e4,1.889985601e2,3.746e-11,6.569580,0.155072
2360,0.590000,1.718307400e1,5.552408476e2,2.347725595e4,1.897616299e2,3.712e-11,6.835291,0.161656
2400,0.600000,1.663752950e1,5.359901319e2,2.262700311e4,1.898400640e2,3.668e-11,7.083715,0.167800
2440,0.610000,1.611082070e1,5.175584697e2,2.182023176e4,1.888052412e2,3.628e-11,7.295997,0.173055
2480,0.620000,1.560216143e1,4.998803069e2,2.105210894e4,1.864738520e2,3.595e-11,7.460740,0.177155
2520,0.630000,1.511082976e1,4.828933655e2,2.031801986e4,1.828721061e2,3.568e-11,7.574016,0.180010
2560,0.640000,1.463616299e1,4.665418498e2,1.961388502e4,1.781744033e2,3.547e-11,7.638089,0.181682
2600,0.650000,1.417755022e1,4.507781334e2,1.893631463e4,1.726388953e2,3.528e-11,7.659595,0.182336
2640,0.660000,1.373442390e1,4.355631507e2,1.828263665e4,1.665525852e2,3.504e-11,7.647689,0.182198
2680,0.670000,1.330625144e1,4.208658447e2,1.765084187e4,1.601903127e2,3.472e-11,7.612417,0.181510
2720,0.680000,1.289252778e1,4.066620153e2,1.703948321e4,1.537876381e2,3.427e-11,7.563413,0.180507
2760,0.690000,1.249276922e1,3.929328651e2,1.644755659e4,1.475262638e2,3.367e-11,7.508981,0.179390
2800,0.700000,1.210650882e1,3.796634846e2,1.587438254e4,1.415301458e2,3.291e-11,7.455557,0.178313
2840,0.710000,1.173329315e1,3.668414581e2,1.531950111e4,1.358697973e2,3.200e-11,7.407549,0.177381
2880,0.720000,1.137268048e1,3.544557081e2,1.478258609e4,1.305716389e2,3.093e-11,7.367445,0.176656
2920,0.730000,1.102423984e1,3.424956250e2,1.426338002e4,1.256291921e2,2.978e-11,7.336105,0.176156
2960,0.740000,1.068755091e1,3.309504737e2,1.376164676e4,1.210136532e2,2.854e-11,7.313097,0.175871
3000,0.750000,1.036220432e1,3.198090338e2,1.327713770e4,1.166825907e2,2.728e-11,7.297017,0.175765
3040,0.760000,1.004780223e1,3.090594227e2,1.280956756e4,1.125866281e2,2.604e-11,7.285759,0.175785
3080,0.770000,9.743959051e0,2.986890555e2,1.235859790e4,1.086746332e2,2.485e-11,7.276774,0.175869
3120,0.780000,9.450302104e0,2.886847128e2,1.192382791e4,1.048980354e2,2.375e-11,7.267308,0.175947
3160,0.790000,9.166472181e0,2.790326945e2,1.150479304e4,1.012146202e2,2.278e-11,7.254678,0.175952
3200,0.800000,8.892123927e0,2.697190409e2,1.110097168e4,9.759175786e1,2.193e-11,7.236549,0.175826
3240,0.810000,8.626925964e0,2.607298009e2,1.071179905e4,9.400873657e1,2.123e-11,7.211200,0.175524
3280,0.820000,8.370560746e0,2.520513166e2,1.033668641e4,9.045779174e1,2.067e-11,7.177728,0.175023
3320,0.830000,8.122724120e0,2.436704929e2,9.975042341e3,8.694357004e1,2.023e-11,7.136159,0.174322
3360,0.840000,7.883124654e0,2.355750199e2,9.626293015e3,8.348104675e1,1.990e-11,7.087428,0.173444
3400,0.850000,7.651482766e0,2.277535218e2,9.289898189e3,8.009222719e1,1.965e-11,7.033237,0.172429
3440,0.860000,7.427529756e0,2.201956194e2,8.965361185e3,7.680219830e1,1.950e-11,6.975815,0.171331
3480,0.870000,7.211006807e0,2.128919063e2,8.652232084e3,7.363519247e1,1.940e-11,6.917613,0.170211
3520,0.880000,7.001664065e0,2.058338514e2,8.350104767e3,7.061126771e1,1.934e-11,6.860997,0.169127
3560,0.890000,6.799259826e0,1.990136501e2,8.058609370e3,6.774402907e1,1.932e-11,6.807978,0.168128
3600,0.900000,6.603559902e0,1.924240515e2,7.777402258e3,6.503957526e1,1.933e-11,6.760026,0.167253
3640,0.910000,6.414337148e0,1.860581865e2,7.506155632e3,6.249661634e1,1.935e-11,6.717965,0.166521
3680,0.920000,6.231371164e0,1.799094185e2,7.244548542e3,6.010752470e1,1.937e-11,6.681976,0.165939
3720,0.930000,6.054448119e0,1.739712283e2,6.992260447e3,5.785997943e1,1.938e-11,6.651672,0.165497
3760,0.940000,5.883360673e0,1.682371412e2,6.748967825e3,5.573884642e1,1.938e-11,6.626224,0.165177
3800,0.950000,5.717907957e0,1.627006921e2,6.514343683e3,5.372798536e1,1.935e-11,6.604518,0.164953
3840,0.960000,5.557895562e0,1.573554239e2,6.288059439e3,5.181176456e1,1.929e-11,6.585317,0.164794
3880,0.970000,5.403135525e0,1.521949097e2,6.069788351e3,4.997616590e1,1.918e-11,6.567390,0.164672
3920,0.980000,5.253446280e0,1.472127885e2,5.859209681e3,4.820945420e1,1.904e-11,6.549629,0.164560
3960,0.990000,5.108652570e0,1.424028056e2,5.656012836e3,4.650245326e1,1.884e-11,6.531115,0.164435
4000,1.000000,4.968585327e0,1.377588527e2,5.459900932e3,4.484851124e1,1.859e-11,6.511162,0.164283
4040,1.010000,4.833081501e0,1.332750004e2,5.270593444e3,4.324325186e1,1.830e-11,6.489327,0.164093
4080,1.020000,4.701983870e0,1.289455232e2,5.087827795e3,4.168420319e1,1.796e-11,6.465398,0.163859
4120,1.030000,4.575140834e0,1.247649151e2,4.911359908e3,4.017037859e1,1.759e-11,6.439371,0.163581
4160,1.040000,4.452406180e0,1.207278967e2,4.740963855e3,3.870186339e1,1.718e-11,6.411420,0.163266
4200,1.050000,4.333638864e0,1.168294150e2,4.576430790e3,3.727944000e1,1.676e-11,6.381859,0.162919
4240,1.060000,4.218702784e0,1.130646380e2,4.417567377e3,3.590426755e1,1.631e-11,6.351105,0.162552
4280,1.070000,4.107466562e0,1.094289446e2,4.264193920e3,3.457762017e1,1.584e-11,6.319648,0.162177
4320,1.080000,3.999803343e0,1.059179125e2,4.116142345e3,3.330068107e1,1.538e-11,6.288017,0.161805
4360,1.090000,3.895590598e0,1.025273038e2,3.973254199e3,3.207438667e1,1.491e-11,6.256750,0.161451
4400,1.100000,3.794709952e0,9.925305033e1,3.835378726e3,3.089931382e1,1.444e-11,6.226371,0.161128
4440,1.110000,3.697047018e0,9.609123886e1,3.702371119e3,2.977560453e1,1.399e-11,6.197361,0.160846
4480,1.120000,3.602491252e0,9.303809678e1,3.574090975e3,2.870292338e1,1.355e-11,6.170144,0.160617
4520,1.130000,3.510935818e0,9.008997861e1,3.450400968e3,2.768044385e1,1.312e-11,6.145066,0.160448
4560,1.140000,3.422277465e0,8.724335375e1,3.331165774e3,2.670686046e1,1.270e-11,6.122383,0.160345
4600,1.150000,3.336416423e0,8.449479567e1,3.216251221e3,2.578042355e1,1.229e-11,6.102251,0.160313
4640,1.160000,3.253256297e0,8.184097269e1,3.105523678e3,2.489899334e1,1.190e-11,6.084726,0.160353
4680,1.170000,3.172703981e0,7.927864056e1,2.998849669e3,2.406010939e1,1.153e-11,6.069758,0.160462
4720,1.180000,3.094669573e0,7.680463673e1,2.896095686e3,2.326107090e1,1.116e-11,6.057205,0.160637
4760,1.190000,3.019066294e0,7.441587648e1,2.797128200e3,2.249902334e1,1.081e-11,6.046834,0.160872
4800,1.200000,2.945810410e0,7.210935069e1,2.701813831e3,2.177104650e1,1.047e-11,6.038342,0.161159
4840,1.210000,2.874821160e0,6.988212506e1,2.610019665e3,2.107423954e1,1.014e-11,6.031368,0.161487
4880,1.220000,2.806020680e0,6.773134064e1,2.521613671e3,2.040579879e1,9.812e-12,6.025512,0.161847
4920,1.230000,2.739333927e0,6.565421532e1,2.436465215e3,1.976308528e1,9.495e-12,6.020355,0.162228
4960,1.240000,2.674688598e0,6.364804603e1,2.354445607e3,1.914367943e1,9.186e-12,6.015481,0.162617
5000,1.250000,2.612015057e0,6.171021134e1,2.275428681e3,1.854542148e1,8.883e-12,6.010487,0.163006
5040,1.260000,2.551246244e0,5.983817412e1,2.199291360e3,1.796643722e1,8.587e-12,6.005009,0.163384
5080,1.270000,2.492317594e0,5.802948402e1,2.125914184e3,1.740514929e1,8.298e-12,5.998726,0.163743
5120,1.280000,2.435166949e0,5.628177954e1,2.055181790e3,1.686027515e1,8.015e-12,5.991380,0.164076
5160,1.290000,2.379734465e0,5.459278955e1,1.986983308e3,1.633081349e1,7.738e-12,5.982773,0.164378
5200,1.300000,2.325962526e0,5.296033398e1,1.921212681e3,1.581602093e1,7.469e-12,5.972780,0.164646
5240,1.310000,2.273795649e0,5.138232379e1,1.857768887e3,1.531538145e1,7.207e-12,5.961342,0.164879
5280,1.320000,2.223180397e0,4.985676002e1,1.796556064e3,1.482857083e1,6.954e-12,5.948470,0.165078
5320,1.330000,2.174065285e0,4.838173214e1,1.737483546e3,1.435541835e1,6.711e-12,5.934231,0.165244
5360,1.340000,2.126400697e0,4.695541546e1,1.680465802e3,1.389586789e1,6.476e-12,5.918750,0.165381
5400,1.350000,2.080138799e0,4.557606803e1,1.625422304e3,1.344994021e1,6.250e-12,5.902194,0.165495
5440,1.360000,2.035233459e0,4.424202691e1,1.572277321e3,1.301769790e1,6.035e-12,5.884766,0.165590
5480,1.370000,1.991640173e0,4.295170398e1,1.520959653e3,1.259921425e1,5.830e-12,5.866689,0.165675
5520,1.380000,1.949315985e0,4.170358155e1,1.471402331e3,1.219454669e1,5.636e-12,5.848201,0.165754
5560,1.390000,1.908219427e0,4.049620772e1,1.423542275e3,1.180371540e1,5.453e-12,5.829541,0.165836
5600,1.400000,1.868310451e0,3.932819177e1,1.377319946e3,1.142668720e1,5.280e-12,5.810940,0.165926
5640,1.410000,1.829550370e0,3.819819961e1,1.332678986e3,1.106336469e1,5.119e-12,5.792611,0.166032
5680,1.420000,1.791901805e0,3.710494941e1,1.289565866e3,1.071358018e1,4.966e-12,5.774745,0.166158
5720,1.430000,1.755328635e0,3.604720751e1,1.247929554e3,1.037709413e1,4.826e-12,5.757502,0.166309
5760,1.440000,1.719795951e0,3.502378471e1,1.207721197e3,1.005359735e1,4.695e-12,5.741011,0.166489
5800,1.450000,1.685270010e0,3.403353282e1,1.168893841e3,9.742716364e0,4.573e-12,5.725363,0.166700
5840,1.460000,1.651718199e0,3.307534172e1,1.131402179e3,9.444021227e0,4.460e-12,5.710611,0.166944
5880,1.470000,1.619108998e0,3.214813679e1,1.095202332e3,9.157035116e0,4.355e-12,5.696775,0.167221
5920,1.480000,1.587411944e0,3.125087672e1,1.060251673e3,8.881245010e0,4.259e-12,5.683837,0.167531
5960,1.490000,1.556597600e0,3.038255175e1,1.026508681e3,8.616112873e0,4.169e-12,5.671751,0.167872
6000,1.500000,1.526637522e0,2.954218221e1,9.939328319e2,8.361086809e0,4.085e-12,5.660440,0.168242
6040,1.510000,1.497504234e0,2.872881740e1,9.624845159e2,8.115611743e0,4.008e-12,5.649806,0.168639
6080,1.520000,1.469171194e0,2.794153474e1,9.321249895e2,7.879139255e0,3.935e-12,5.639733,0.169058
6120,1.530000,1.441612769e0,2.717943916e1,9.028163471e2,7.651136314e0,3.867e-12,5.630091,0.169495
6160,1.540000,1.414804209e0,2.644166263e1,8.745215144e2,7.431092705e0,3.803e-12,5.620745,0.169946
6200,1.550000,1.388721618e0,2.572736384e1,8.472042577e2,7.218527050e0,3.741e-12,5.611556,0.170408
6240,1.560000,1.363341928e0,2.503572799e1,8.208292053e2,7.012991383e0,3.683e-12,5.602387,0.170876
6280,1.570000,1.338642871e0,2.436596663e1,7.953618776e2,6.814074299e0,3.625e-12,5.593108,0.171345
6320,1.580000,1.314602957e0,2.371731746e1,7.707687211e2,6.621402744e0,3.570e-12,5.583602,0.171813
6360,1.590000,1.291201444e0,2.308904419e1,7.470171451e2,6.434642575e0,3.516e-12,5.573763,0.172276
6400,1.600000,1.268418314e0,2.248043632e1,7.240755566e2,6.253498004e0,3.462e-12,5.563502,0.172731
6440,1.610000,1.246234245e0,2.189080890e1,7.019133922e2,6.077710107e0,3.408e-12,5.552751,0.173175
6480,1.620000,1.224630590e0,2.131950219e1,6.805011451e2,5.907054561e0,3.354e-12,5.541456,0.173609
6520,1.630000,1.203589346e0,2.076588123e1,6.598103853e2,5.741338778e0,3.300e-12,5.529588,0.174030
6560,1.640000,1.183093136e0,2.022933543e1,6.398137729e2,5.580398608e0,3.245e-12,5.517135,0.174438
6600,1.650000,1.163125179e0,1.970927791e1,6.204850635e2,5.424094766e0,3.190e-12,5.504103,0.174834
6640,1.660000,1.143669272e0,1.920514497e1,6.017991057e2,5.272309132e0,3.133e-12,5.490517,0.175218
6680,1.670000,1.124709762e0,1.871639530e1,5.837318307e2,5.124941044e0,3.076e-12,5.476419,0.175592
6720,1.680000,1.106231527e0,1.824250927e1,5.662602352e2,4.981903703e0,3.018e-12,5.461862,0.175958
6760,1.690000,1.088219955e0,1.778298811e1,5.493623561e2,4.843120772e0,2.958e-12,5.446914,0.176318
6800,1.700000,1.070660922e0,1.733735305e1,5.330172411e2,4.708523238e0,2.898e-12,5.431652,0.176674
6840,1.710000,1.053540774e0,1.690514445e1,5.172049127e2,4.578046597e0,2.836e-12,5.416158,0.177030
6880,1.720000,1.036846305e0,1.648592091e1,5.019063286e2,4.451628393e0,2.773e-12,5.400521,0.177389
6920,1.730000,1.020564745e0,1.607925838e1,4.871033386e2,4.329206121e0,2.710e-12,5.384833,0.177753
6960,1.740000,1.004683737e0,1.568474926e1,4.727786395e2,4.210715512e0,2.646e-12,5.369184,0.178126
7000,1.750000,9.891913262e-1,1.530200156e1,4.589157279e2,4.096089188e0,2.581e-12,5.353665,0.178512
7040,1.760000,9.740759398e-1,1.493063799e1,4.454988528e2,3.985255658e0,2.515e-12,5.338360,0.178912
7080,1.770000,9.593263768e-1,1.457029520e1,4.325129683e2,3.878138661e0,2.449e-12,5.323349,0.179331
7120,1.780000,9.449317927e-1,1.422062297e1,4.199436870e2,3.774656785e0,2.383e-12,5.308708,0.179770
7160,1.790000,9.308816867e-1,1.388128349e1,4.077772345e2,3.674723368e0,2.317e-12,5.294501,0.180232
7200,1.800000,9.171658903e-1,1.355195062e1,3.960004062e2,3.578246618e0,2.251e-12,5.280785,0.180719
7240,1.810000,9.037745551e-1,1.323230930e1,3.846005260e2,3.485129927e0,2.185e-12,5.267607,0.181234
7280,1.820000,8.906981428e-1,1.292205491e1,3.735654076e2,3.395272337e0,2.119e-12,5.255004,0.181777
7320,1.830000,8.779274146e-1,1.262089273e1,3.628833188e2,3.308569131e0,2.053e-12,5.243003,0.182349
7360,1.840000,8.654534218e-1,1.232853745e1,3.525429479e2,3.224912507e0,1.988e-12,5.231622,0.182951
7400,1.850000,8.532674963e-1,1.204471265e1,3.425333739e2,3.144192313e0,1.924e-12,5.220867,0.183585
7440,1.860000,8.413612424e-1,1.176915048e1,3.328440394e2,3.066296806e0,1.861e-12,5.210736,0.184248
