== scout: M=4 ic=null nu=0.05 dt=0.001 steps=6000 lambda=0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,1.969009309e2,-1.563e-13,2.368928,0.191751
10,0.010000,1.423469834e2,1.642624685e3,2.028871426e4,-1.281301667e2,2.416e-13,-1.560066,-0.126307
20,0.020000,1.407167585e2,1.616897247e3,1.993079174e4,-4.236716939e2,5.116e-13,-5.240552,-0.425143
30,0.030000,1.391148084e2,1.586331193e3,1.948442277e4,-6.472516284e2,1.137e-12,-8.160359,-0.664379
40,0.040000,1.375451299e2,1.552667341e3,1.898129057e4,-7.800624895e2,1.194e-12,-10.048031,-0.821928
50,0.050000,1.360098845e2,1.517762112e3,1.845500711e4,-8.251478434e2,2.160e-12,-10.873217,-0.894227
60,0.060000,1.345094819e2,1.483210935e3,1.793432640e4,-8.013121046e2,2.501e-12,-10.805100,-0.893607
70,0.070000,1.330429732e2,1.450107457e3,1.743880220e4,-7.362570506e2,3.070e-12,-10.154517,-0.844389
80,0.080000,1.316086109e2,1.418954486e3,1.697719116e4,-6.585225121e2,3.581e-12,-9.281799,-0.775773
90,0.090000,1.302044146e2,1.389739859e3,1.654888754e4,-5.895555292e2,3.752e-12,-8.484401,-0.712502
100,0.100000,1.288285928e2,1.362137823e3,1.614767013e4,-5.393681414e2,3.951e-12,-7.919436,-0.668045
110,0.110000,1.274797387e2,1.335739898e3,1.576596879e4,-5.074915154e2,3.865e-12,-7.598658,-0.643781
120,0.120000,1.261568213e2,1.310222701e3,1.539793070e4,-4.874303582e2,4.434e-12,-7.440420,-0.633112
130,0.130000,1.248590578e2,1.285416914e3,1.504063140e4,-4.713872789e2,4.690e-12,-7.334387,-0.626818
140,0.140000,1.235857599e2,1.261297068e3,1.469381141e4,-4.532533003e2,4.803e-12,-7.187098,-0.616931
150,0.150000,1.223362126e2,1.237931647e3,1.435888598e4,-4.297507136e2,5.173e-12,-6.943044,-0.598585
160,0.160000,1.211096106e2,1.215423492e3,1.403779553e4,-4.005062160e2,5.201e-12,-6.590398,-0.570611
170,0.170000,1.199050516e2,1.193855263e3,1.373197789e4,-3.676354641e2,5.599e-12,-6.158795,-0.535444
180,0.180000,1.187215788e2,1.173247894e3,1.344161200e4,-3.349392938e2,5.556e-12,-5.709608,-0.498362
190,0.190000,1.175582551e2,1.153539984e3,1.316527565e4,-3.066777664e2,5.627e-12,-5.317159,-0.465889
200,0.200000,1.164142442e2,1.134594617e3,1.290012682e4,-2.861214363e2,5.841e-12,-5.043589,-0.443595
