== scout: M=2 ic=null nu=0.05 dt=0.0005 steps=12000 lambda=0.05 E0=144 engine=fft modes=33 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.357101449e2,1.453217391e3,5.084180086e-1,-3.375e-14,0.023337,0.006997
20,0.010000,1.435650428e2,4.341727931e2,1.448136354e3,-9.191318036e0,-3.553e-14,-0.423394,-0.126940
40,0.020000,1.431317179e2,4.324448020e2,1.441775379e3,-1.916744755e1,-1.101e-13,-0.886469,-0.265887
60,0.030000,1.427002189e2,4.305195788e2,1.434087140e3,-2.965381327e1,0.000e0,-1.377583,-0.413557
80,0.040000,1.422707481e2,4.283861555e2,1.425004389e3,-4.085617576e1,2.842e-14,-1.907446,-0.573418
100,0.050000,1.418435208e2,4.260299840e2,1.414445065e3,-5.293093707e1,-1.776e-14,-2.484846,-0.748434
120,0.060000,1.414187680e2,4.234341232e2,1.402319358e3,-6.596701413e1,3.553e-15,-3.115810,-0.940827
140,0.070000,1.409967384e2,4.205807322e2,1.388538232e3,-7.997282585e1,2.665e-14,-3.802971,-1.151900
160,0.080000,1.405776981e2,4.174527515e2,1.373022764e3,-9.486981772e1,5.418e-14,-4.545176,-1.381912
180,0.090000,1.401619293e2,4.140356318e2,1.355713528e3,-1.104932310e2,1.004e-13,-5.337378,-1.630038
200,0.100000,1.397497268e2,4.103189669e2,1.336579247e3,-1.266000349e2,9.592e-14,-6.170811,-1.894389
220,0.110000,1.393413929e2,4.062978937e2,1.315623988e3,-1.428831851e2,4.086e-14,-7.033420,-2.172098
240,0.120000,1.389372320e2,4.019741497e2,1.292892302e3,-1.589907459e2,1.297e-13,-7.910496,-2.459458
260,0.130000,1.385375426e2,3.973567115e2,1.268471918e3,-1.745479845e2,1.670e-13,-8.785455,-2.752099
280,0.140000,1.381426110e2,3.924619769e2,1.242493824e3,-1.891803573e2,9.237e-14,-9.640697,-3.045172
300,0.150000,1.377527033e2,3.873134970e2,1.215129805e3,-2.025353631e2,7.461e-14,-10.458472,-3.333559
320,0.160000,1.373680587e2,3.819413007e2,1.186587715e3,-2.143015120e2,1.492e-13,-11.221699,-3.612064
340,0.170000,1.369888835e2,3.763808866e2,1.157104945e3,-2.242230999e2,1.705e-13,-11.914691,-3.875588
360,0.180000,1.366153464e2,3.706719744e2,1.126940647e3,-2.321100148e2,1.137e-13,-12.523742,-4.119294
380,0.190000,1.362475749e2,3.648571206e2,1.096367319e3,-2.378423547e2,1.492e-13,-13.037561,-4.338735
400,0.200000,1.358856529e2,3.589803011e2,1.065662340e3,-2.413701348e2,2.274e-13,-13.447542,-4.529955
420,0.210000,1.355296202e2,3.530855501e2,1.035099964e3,-2.427087554e2,9.237e-14,-13.747872,-4.689571
440,0.220000,1.351794734e2,3.472157339e2,1.004944185e3,-2.419311544e2,1.137e-13,-13.935495,-4.814818
460,0.230000,1.348351669e2,3.414115111e2,9.754427387e2,-2.391576844e2,1.350e-13,-14.009937,-4.903572
480,0.240000,1.344966159e2,3.357105156e2,9.468224075e2,-2.345447474e2,1.563e-13,-13.973035,-4.954356
500,0.250000,1.341637001e2,3.301467756e2,9.192856594e2,-2.282731294e2,1.492e-13,-13.828585,-4.966315
520,0.260000,1.338362666e2,3.247503641e2,8.930085676e2,-2.205368319e2,3.553e-14,-13.581930,-4.939187
540,0.270000,1.335141348e2,3.195472642e2,8.681398840e2,-2.115330406e2,1.421e-13,-13.239546,-4.873248
560,0.280000,1.331971002e2,3.145594201e2,8.448010929e2,-2.014537148e2,1.208e-13,-12.808627,-4.769258
580,0.290000,1.328849382e2,3.098049362e2,8.230872378e2,-1.904791409e2,7.105e-14,-12.296714,-4.628407
600,0.300000,1.325774077e2,3.052983833e2,8.030683053e2,-1.787736663e2,1.315e-13,-11.711406,-4.452266
620,0.310000,1.322742549e2,3.010511648e2,7.847909469e2,-1.664837004e2,1.066e-13,-11.060160,-4.242753
640,0.320000,1.319752160e2,2.970718995e2,7.682803310e2,-1.537379375e2,1.172e-13,-10.350217,-4.002131
660,0.330000,1.316800197e2,2.933667769e2,7.535419408e2,-1.406496018e2,1.101e-13,-9.588652,-3.733027
680,0.340000,1.313883897e2,2.899398494e2,7.405631718e2,-1.273203444e2,1.261e-13,-8.782535,-3.438474
700,0.350000,1.311000466e2,2.867932319e2,7.293146264e2,-1.138452484e2,1.279e-13,-7.939187,-3.121979
720,0.360000,1.308147097e2,2.839271954e2,7.197510710e2,-1.003182426e2,7.727e-14,-7.066476,-2.787582
740,0.370000,1.305320992e2,2.813401542e2,7.118120848e2,-8.683711919e1,1.403e-13,-6.173105,-2.439889
760,0.380000,1.302519376e2,2.790285631e2,7.054225050e2,-7.350733551e1,1.226e-13,-5.268804,-2.084066
780,0.390000,1.299739521e2,2.769867556e2,7.004928309e2,-6.044387887e1,1.430e-13,-4.364388,-1.725753
800,0.400000,1.296978767e2,2.752067694e2,6.969197962e2,-4.777069925e1,2.167e-13,-3.471622,-1.370910
