== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=24000 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
40,0.010000,1.208455916e2,1.837022284e4,3.419847517e6,-6.020738662e4,4.042e-9,-65.548891,-0.352106
80,0.020000,1.040230985e2,1.554037111e4,2.854292495e6,-2.149424317e4,3.790e-9,-27.662458,-0.150610
120,0.030000,8.987311299e1,1.310279860e4,2.432938334e6,4.768872206e4,4.372e-9,72.791659,0.392026
160,0.040000,7.746882785e1,1.167861851e4,2.200689445e6,2.863802855e4,2.457e-9,49.043521,0.260264
200,0.050000,6.661911613e1,9.978650005e3,1.853520003e6,2.409590432e3,1.870e-10,4.829492,0.026000
240,0.060000,5.751019050e1,8.341851350e3,1.515524792e6,1.582769936e4,-1.031e-9,37.947690,0.208874
280,0.070000,4.971623329e1,7.217149507e3,1.325437669e6,4.138737548e3,-2.358e-9,11.469175,0.062451
320,0.080000,4.306719800e1,6.157348523e3,1.117066757e6,1.359668422e4,-2.319e-9,44.164088,0.243435
360,0.090000,3.731802150e1,5.342680375e3,9.648954449e5,7.544918376e3,-2.315e-9,28.243944,0.156388
400,0.100000,3.237086041e1,4.567716235e3,8.171415217e5,4.725838904e3,-2.631e-9,20.692349,0.115668
440,0.110000,2.814763048e1,3.894604340e3,6.883717147e5,3.087277138e3,-2.321e-9,15.854125,0.089698
480,0.120000,2.455103142e1,3.314156260e3,5.755982358e5,2.125781127e3,-2.128e-9,12.828491,0.073863
520,0.130000,2.148691447e1,2.830507730e3,4.843936583e5,2.462255434e3,-1.834e-9,17.397977,0.101663
560,0.140000,1.885999374e1,2.435866907e3,4.144954447e5,2.722565298e3,-1.120e-9,22.353974,0.131368
600,0.150000,1.659562218e1,2.100609338e3,3.557641265e5,2.132040064e3,-5.569e-10,20.299253,0.119857
640,0.160000,1.464450181e1,1.809002061e3,3.032408841e5,1.725713430e3,-6.540e-10,19.079176,0.113818
680,0.170000,1.296153202e1,1.565254878e3,2.592360711e5,2.001517854e3,-8.883e-10,25.574338,0.154417
720,0.180000,1.149877861e1,1.366696717e3,2.242042771e5,2.185122085e3,-5.927e-10,31.976693,0.194922
760,0.190000,1.021750138e1,1.200353597e3,1.957120266e5,2.112289473e3,2.887e-10,35.194454,0.215857
800,0.200000,9.090318730e0,1.057254327e3,1.718386609e5,1.893803217e3,1.192e-9,35.824932,0.220416
840,0.210000,8.097511706e0,9.307815188e2,1.508471676e5,1.574301938e3,1.558e-9,33.827529,0.208728
880,0.220000,7.224148970e0,8.181717544e2,1.320333627e5,1.301519890e3,1.437e-9,31.815322,0.197150
920,0.230000,6.456885077e0,7.183965194e2,1.152095264e5,1.072530484e3,1.189e-9,29.859011,0.186188
960,0.240000,5.783475418e0,6.302735191e2,1.002264684e5,8.788072859e2,1.050e-9,27.886537,0.175364
1000,0.250000,5.192792556e0,5.527876873e2,8.702591191e4,7.273140493e2,1.010e-9,26.314408,0.167149
1040,0.260000,4.674674243e0,4.849749971e2,7.552221611e4,6.098896884e2,9.999e-10,25.151387,0.161513
1080,0.270000,4.219970556e0,4.257790189e2,6.554618412e4,5.151653532e2,9.661e-10,24.198720,0.157192
1120,0.280000,3.820592285e0,3.741592190e2,5.690256393e4,4.376001631e2,8.840e-10,23.391120,0.153807
1160,0.290000,3.469436700e0,3.291891519e2,4.941704927e4,3.745580867e2,7.604e-10,22.756405,0.151591
1200,0.300000,3.160271533e0,2.900493227e2,4.293820719e4,3.231300265e2,6.205e-10,22.281040,0.150509
1240,0.310000,2.887639476e0,2.560078154e2,3.733430345e4,2.808980088e2,4.884e-10,21.944487,0.150477
1280,0.320000,2.646775561e0,2.264094191e2,3.249141357e4,2.456274086e2,3.772e-10,21.697632,0.151195
1320,0.330000,2.433536998e0,2.006641790e2,2.830805360e4,2.154591331e2,2.894e-10,21.474598,0.152225
1360,0.340000,2.244338041e0,1.782487117e2,2.469447935e4,1.893284577e2,2.220e-10,21.243178,0.153337
1400,0.350000,2.076082253e0,1.587072859e2,2.157296071e4,1.666281631e2,1.699e-10,20.998174,0.154479
1440,0.360000,1.926097212e0,1.416464809e2,1.887624880e4,1.469404984e2,1.293e-10,20.747497,0.155688
1480,0.370000,1.792075669e0,1.267281202e2,1.654600947e4,1.299191769e2,9.685e-11,20.503607,0.157040
1520,0.380000,1.672024206e0,1.136613766e2,1.453140251e4,1.151909075e2,6.983e-11,20.269138,0.158541
1560,0.390000,1.564219712e0,1.021953918e2,1.278792153e4,1.023777104e2,4.650e-11,20.035680,0.160116
1600,0.400000,1.467172274e0,9.211386506e1,1.127681192e4,9.115990412e1,2.607e-11,19.792874,0.161677
1640,0.410000,1.379592775e0,8.323083885e1,9.964690419e3,8.128644290e1,8.530e-12,19.532770,0.163149
1680,0.420000,1.300364513e0,7.538682304e1,8.823043685e3,7.256337646e1,-5.882e-12,19.250944,0.164486
1720,0.430000,1.228518529e0,6.844526404e1,7.827671756e3,6.484551415e1,-1.709e-11,18.948138,0.165683
1760,0.440000,1.163212292e0,6.228934008e1,6.958126126e3,5.802005654e1,-2.530e-11,18.629209,0.166769
1800,0.450000,1.103711495e0,5.681894368e1,6.197112674e3,5.198645742e1,-3.092e-11,18.298988,0.167776
1840,0.460000,1.049374732e0,5.194795759e1,5.529912809e3,4.664798035e1,-3.447e-11,17.959505,0.168711
1880,0.470000,9.996406729e-1,4.760202404e1,4.943919431e3,4.191532543e1,-3.642e-11,17.610732,0.169563
1920,0.480000,9.540172055e-1,4.371681141e1,4.428309183e3,3.771165765e1,-3.721e-11,17.252703,0.170321
1960,0.490000,9.120721261e-1,4.023661802e1,3.973799905e3,3.397306831e1,-3.716e-11,16.886642,0.170985
2000,0.500000,8.734251245e-1,3.711317140e1,3.572441875e3,3.064595325e1,-3.654e-11,16.514866,0.171569
2040,0.510000,8.377408949e-1,3.430457104e1,3.217424662e3,2.768425849e1,-3.555e-11,16.140274,0.172090
2080,0.520000,8.047232347e-1,3.177436904e1,2.902901584e3,2.504756043e1,-3.435e-11,15.765890,0.172569
2120,0.530000,7.741099956e-1,2.949078367e1,2.623835647e3,2.269970988e1,-3.304e-11,15.394443,0.173027
2160,0.540000,7.456687607e-1,2.742603247e1,2.375868155e3,2.060787994e1,-3.173e-11,15.027970,0.173477
2200,0.550000,7.191931336e-1,2.555577124e1,2.155210306e3,1.874212899e1,-3.046e-11,14.667629,0.173924
2240,0.560000,6.944995413e-1,2.385862646e1,1.958557357e3,1.707545188e1,-2.929e-11,14.313860,0.174368
2280,0.570000,6.714244639e-1,2.231580683e1,1.783022688e3,1.558402283e1,-2.823e-11,13.966802,0.174805
2320,0.580000,6.498220197e-1,2.091077668e1,1.626086499e3,1.424728223e1,-2.728e-11,13.626737,0.175234
2360,0.590000,6.295618537e-1,1.962897451e1,1.485553142e3,1.304770136e1,-2.644e-11,13.294328,0.175661
2400,0.600000,6.105272901e-1,1.845756433e1,1.359512449e3,1.197028601e1,-2.567e-11,12.970602,0.176097
2440,0.610000,5.926137197e-1,1.738521356e1,1.246302943e3,1.100199766e1,-2.496e-11,12.656730,0.176554
2480,0.620000,5.757271978e-1,1.640189591e1,1.144476988e3,1.013125624e1,-2.429e-11,12.353762,0.177046
2520,0.630000,5.597832252e-1,1.549871928e1,1.052768970e3,9.347604401e0,-2.362e-11,12.062422,0.177581
2560,0.640000,5.447056902e-1,1.466777836e1,9.700676213e2,8.641529090e0,-2.295e-11,11.783010,0.178163
2600,0.650000,5.304259459e-1,1.390203027e1,8.953929662e2,8.004389779e0,-2.225e-11,11.515426,0.178791
2640,0.660000,5.168820011e-1,1.319519009e1,8.278776897e2,7.428395031e0,-2.153e-11,11.259247,0.179456
2680,0.670000,5.040178080e-1,1.254164274e1,7.667522685e2,6.906584710e0,-2.077e-11,11.013844,0.180152
2720,0.680000,4.917826307e-1,1.193636771e1,7.113330138e2,6.432796589e0,-1.999e-11,10.778483,0.180866
2760,0.690000,4.801304842e-1,1.137487372e1,6.610122320e2,6.001613172e0,-1.917e-11,10.552404,0.181589
2800,0.700000,4.690196341e-1,1.085314126e1,6.152498789e2,5.608293852e0,-1.834e-11,10.334877,0.182309
2840,0.710000,4.584121516e-1,1.036757145e1,5.735662741e2,5.248700319e0,-1.748e-11,10.125226,0.183020
2880,0.720000,4.482735154e-1,9.914940280e0,5.355356072e2,4.919222174e0,-1.662e-11,9.922848,0.183712
2920,0.730000,4.385722582e-1,9.492357553e0,5.007800813e2,4.616707291e0,-1.575e-11,9.727209,0.184381
2960,0.740000,4.292796514e-1,9.097230115e0,4.689646084e2,4.338399203e0,-1.488e-11,9.537846,0.185020
3000,0.750000,4.203694251e-1,8.727228928e0,4.397920075e2,4.081882139e0,-1.403e-11,9.354360,0.185628
3040,0.760000,4.118175186e-1,8.380259693e0,4.129986702e2,3.845033426e0,-1.319e-11,9.176406,0.186201
3080,0.770000,4.036018591e-1,8.054436708e0,3.883506651e2,3.625982572e0,-1.237e-11,9.003690,0.186738
3120,0.780000,3.957021650e-1,7.748059647e0,3.656402506e2,3.423076235e0,-1.158e-11,8.835957,0.187237
3160,0.790000,3.880997713e-1,7.459592992e0,3.446827672e2,3.234848332e0,-1.081e-11,8.672989,0.187700
3200,0.800000,3.807774733e-1,7.187647843e0,3.253138791e2,3.059994598e0,-1.008e-11,8.514592,0.188126
3240,0.810000,3.737193891e-1,6.930965852e0,3.073871339e2,2.897351001e0,-9.375e-12,8.360598,0.188515
3280,0.820000,3.669108357e-1,6.688405057e0,2.907718128e2,2.745875447e0,-8.705e-12,8.210853,0.188868
3320,0.830000,3.603382190e-1,6.458927392e0,2.753510408e2,2.604632296e0,-8.068e-12,8.065216,0.189186
3360,0.840000,3.539889359e-1,6.241587681e0,2.610201321e2,2.472779226e0,-7.465e-12,7.923558,0.189470
3400,0.850000,3.478512858e-1,6.035523945e0,2.476851426e2,2.349556080e0,-6.896e-12,7.785757,0.189721
3440,0.860000,3.419143925e-1,5.839948849e0,2.352616077e2,2.234275328e0,-6.360e-12,7.651695,0.189940
