== scout: M=4 ic=adv nu=0.05 dt=0.00025 steps=400 lambda=-0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,2.916508873e3,-1.012e-12,35.088708,2.840235
2,0.000500,1.439168353e2,1.664212796e3,2.058076580e4,2.838261883e3,-2.876e-13,34.109363,2.758169
4,0.001000,1.438335801e2,1.665981079e3,2.062300701e4,2.758213934e3,-3.730e-13,33.112188,2.674890
6,0.001500,1.437502385e2,1.667666389e3,2.066378491e4,2.676488598e3,-4.943e-13,32.098609,2.590511
8,0.002000,1.436668148e2,1.669267185e3,2.070306818e4,2.593210016e3,-3.812e-13,31.070041,2.505146
10,0.002500,1.435833133e2,1.670782051e3,2.074082780e4,2.508502603e3,-4.278e-13,30.027885,2.418903
12,0.003000,1.434997381e2,1.672209698e3,2.077703704e4,2.422490764e3,-2.766e-13,28.973528,2.331892
14,0.003500,1.434160938e2,1.673548962e3,2.081167149e4,2.335298620e3,-7.128e-14,27.908339,2.244220
16,0.004000,1.433323847e2,1.674798803e3,2.084470901e4,2.247049743e3,-5.415e-14,26.833668,2.155991
18,0.004500,1.432486154e2,1.675958306e3,2.087612978e4,2.157866905e3,-2.021e-13,25.750842,2.067306
20,0.005000,1.431647904e2,1.677026680e3,2.090591620e4,2.067871835e3,2.942e-14,24.661168,1.978265
22,0.005500,1.430809142e2,1.678003255e3,2.093405294e4,1.977184987e3,5.096e-13,23.565926,1.888965
24,0.006000,1.429969916e2,1.678887482e3,2.096052689e4,1.885925325e3,4.119e-13,22.466369,1.799502
26,0.006500,1.429130270e2,1.679678929e3,2.098532711e4,1.794210112e3,2.884e-13,21.363727,1.709966
28,0.007000,1.428290252e2,1.680377284e3,2.100844485e4,1.702154718e3,7.595e-13,20.259197,1.620448
30,0.007500,1.427449909e2,1.680982347e3,2.102987346e4,1.609872430e3,6.012e-13,19.153948,1.531034
32,0.008000,1.426609286e2,1.681494031e3,2.104960839e4,1.517474287e3,5.993e-13,18.049119,1.441808
34,0.008500,1.425768430e2,1.681912360e3,2.106764712e4,1.425068913e3,1.552e-12,16.945817,1.352851
36,0.009000,1.424927389e2,1.682237465e3,2.108398914e4,1.332762371e3,8.694e-13,15.845116,1.264241
38,0.009500,1.424086208e2,1.682469582e3,2.109863588e4,1.240658024e3,1.155e-12,14.748059,1.176055
40,0.010000,1.423244935e2,1.682609047e3,2.111159069e4,1.148856407e3,1.053e-12,13.655655,1.088366
42,0.010500,1.422403615e2,1.682656297e3,2.112285875e4,1.057455111e3,1.401e-12,12.568878,1.001242
44,0.011000,1.421562294e2,1.682611864e3,2.113244704e4,9.665486792e2,1.355e-12,11.488671,0.914753
46,0.011500,1.420721018e2,1.682476373e3,2.114036430e4,8.762285089e2,1.150e-12,10.415938,0.828963
48,0.012000,1.419879832e2,1.682250537e3,2.114662092e4,7.865827690e2,1.510e-12,9.351553,0.743932
50,0.012500,1.419038782e2,1.681935157e3,2.115122895e4,6.976963241e2,1.582e-12,8.296352,0.659722
52,0.013000,1.418197912e2,1.681531115e3,2.115420196e4,6.096506688e2,1.630e-12,7.251138,0.576387
54,0.013500,1.417357266e2,1.681039371e3,2.115555507e4,5.225238725e2,1.421e-12,6.216676,0.493983
56,0.014000,1.416516887e2,1.680460965e3,2.115530480e4,4.363905319e2,1.470e-12,5.193700,0.412559
58,0.014500,1.415676819e2,1.679797003e3,2.115346907e4,3.513217331e2,2.205e-12,4.182907,0.332165
60,0.015000,1.414837104e2,1.679048665e3,2.115006711e4,2.673850220e2,1.677e-12,3.184959,0.252846
62,0.015500,1.413997784e2,1.678217191e3,2.114511938e4,1.846443829e2,1.699e-12,2.200483,0.174645
64,0.016000,1.413158901e2,1.677303886e3,2.113864756e4,1.031602248e2,2.275e-12,1.230072,0.097603
66,0.016500,1.412320494e2,1.676310110e3,2.113067443e4,2.298937577e1,2.130e-12,0.274285,0.021759
68,0.017000,1.411482604e2,1.675237277e3,2.112122380e4,-5.581491597e1,2.201e-12,-0.666352,-0.052852
70,0.017500,1.410645269e2,1.674086854e3,2.111032051e4,-1.332029733e2,2.236e-12,-1.591351,-0.126197
72,0.018000,1.409808530e2,1.672860351e3,2.109799030e4,-2.091286751e2,2.504e-12,-2.500253,-0.198245
74,0.018500,1.408972422e2,1.671559322e3,2.108425979e4,-2.835494346e2,2.456e-12,-3.392634,-0.268968
76,0.019000,1.408136982e2,1.670185363e3,2.106915636e4,-3.564261719e2,2.208e-12,-4.268103,-0.338339
78,0.019500,1.407302248e2,1.668740103e3,2.105270817e4,-4.277232795e2,2.897e-12,-5.126302,-0.406336
80,0.020000,1.406468254e2,1.667225205e3,2.103494400e4,-4.974085835e2,2.508e-12,-5.966903,-0.472935
82,0.020500,1.405635034e2,1.665642360e3,2.101589328e4,-5.654532986e2,2.477e-12,-6.789612,-0.538120
84,0.021000,1.404802623e2,1.663993286e3,2.099558596e4,-6.318319780e2,2.982e-12,-7.594165,-0.601871
86,0.021500,1.403971052e2,1.662279721e3,2.097405248e4,-6.965224591e2,2.966e-12,-8.380328,-0.664175
88,0.022000,1.403140353e2,1.660503425e3,2.095132370e4,-7.595058033e2,2.910e-12,-9.147898,-0.725019
90,0.022500,1.402310558e2,1.658666171e3,2.092743086e4,-8.207662329e2,2.966e-12,-9.896702,-0.784393
92,0.023000,1.401481697e2,1.656769746e3,2.090240550e4,-8.802910625e2,3.640e-12,-10.626595,-0.842287
94,0.023500,1.400653798e2,1.654815948e3,2.087627941e4,-9.380706274e2,3.534e-12,-11.337462,-0.898695
96,0.024000,1.399826890e2,1.652806579e3,2.084908458e4,-9.940982078e2,3.618e-12,-12.029214,-0.953613
98,0.024500,1.399001001e2,1.650743446e3,2.082085314e4,-1.048369950e3,3.421e-12,-12.701791,-1.007038
100,0.025000,1.398176155e2,1.648628356e3,2.079161731e4,-1.100884782e3,3.266e-12,-13.355160,-1.058970
102,0.025500,1.397352381e2,1.646463116e3,2.076140936e4,-1.151644333e3,3.475e-12,-13.989312,-1.109409
