== scout: M=4 ic=adv nu=0.05 dt=0.001 steps=6000 lambda=0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,-2.916508873e3,1.012e-12,-35.088708,-2.840235
10,0.010000,1.423808118e2,1.573271105e3,1.894756770e4,-3.809478038e3,2.250e-12,-48.427484,-4.021073
20,0.020000,1.408544319e2,1.481281459e3,1.734453428e4,-3.360579676e3,3.363e-12,-45.373952,-3.875088
30,0.030000,1.394111138e2,1.410064188e3,1.616956583e4,-2.025690627e3,5.493e-12,-28.731892,-2.505560
40,0.040000,1.380247770e2,1.366789938e3,1.554601049e4,-8.124172142e2,7.063e-12,-11.887960,-1.045178
50,0.050000,1.366714847e2,1.341564434e3,1.526644577e4,-2.920629113e2,7.909e-12,-4.354065,-0.382621
60,0.060000,1.353402748e2,1.320696712e3,1.505000569e4,-3.438417687e2,8.300e-12,-5.206975,-0.456932
70,0.070000,1.340313320e2,1.296332120e3,1.473741335e4,-6.122934586e2,8.455e-12,-9.446552,-0.830937
80,0.080000,1.327492922e2,1.267033612e3,1.430547454e4,-8.465513590e2,8.377e-12,-13.362729,-1.183535
90,0.090000,1.314982490e2,1.234808172e3,1.380368373e4,-9.451472763e2,8.191e-12,-15.308407,-1.369413
100,0.100000,1.302796754e2,1.202563125e3,1.329767974e4,-9.041184847e2,8.225e-12,-15.036524,-1.359814
110,0.110000,1.290923284e2,1.172659947e3,1.283770390e4,-7.694693869e2,7.975e-12,-13.123487,-1.198765
120,0.120000,1.279331630e2,1.146292659e3,1.244696769e4,-6.034417097e2,8.085e-12,-10.528580,-0.969620
130,0.130000,1.267985586e2,1.123449965e3,1.212336010e4,-4.599719392e2,8.289e-12,-8.188561,-0.758819
140,0.140000,1.256853726e2,1.103267604e3,1.184866691e4,-3.700746853e2,8.636e-12,-6.708702,-0.624669
150,0.150000,1.245915389e2,1.084543350e3,1.159951386e4,-3.392171622e2,9.031e-12,-6.255484,-0.584882
160,0.160000,1.235161665e2,1.066191171e3,1.135549280e4,-3.541219834e2,9.410e-12,-6.642748,-0.623702
170,0.170000,1.224592698e2,1.047516734e3,1.110306373e4,-3.919703141e2,1.007e-11,-7.483801,-0.706058
180,0.180000,1.214213087e2,1.028333471e3,1.083687939e4,-4.264154133e2,1.058e-11,-8.293329,-0.786971
190,0.190000,1.204026614e2,1.008991558e3,1.056073154e4,-4.307130560e2,1.105e-11,-8.537496,-0.815688
200,0.200000,1.194031003e2,9.903373810e2,1.028828769e4,-3.821416460e2,1.141e-11,-7.717403,-0.742867
210,0.210000,1.184213640e2,9.735523957e2,1.004166382e4,-2.694451523e2,1.172e-11,-5.535298,-0.536654
220,0.220000,1.174549648e2,9.598481421e2,9.846298403e3,-9.896702818e1,1.181e-11,-2.062139,-0.201024
