== scout: M=4 ic=adv nu=0.05 dt=0.0000625 steps=480 lambda=-0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,2.916508873e3,-1.012e-12,35.088708,2.840235
1,0.000063,1.439896095e2,1.662598793e3,2.054263073e4,2.906830693e3,-6.338e-13,34.967314,2.830047
2,0.000125,1.439792175e2,1.662833132e3,2.054814473e4,2.897122693e3,-4.094e-13,34.845621,2.819839
3,0.000188,1.439688241e2,1.663066221e3,2.055363680e4,2.887385113e3,-5.493e-13,34.723634,2.809610
4,0.000250,1.439584292e2,1.663298056e3,2.055910687e4,2.877618190e3,-5.793e-13,34.601353,2.799361
5,0.000313,1.439480329e2,1.663528635e3,2.056455487e4,2.867822166e3,-9.521e-13,34.478783,2.789092
6,0.000375,1.439376351e2,1.663757954e3,2.056998074e4,2.857997280e3,-4.719e-13,34.355926,2.778804
7,0.000438,1.439272359e2,1.663986009e3,2.057538441e4,2.848143772e3,-7.569e-13,34.232785,2.768496
8,0.000500,1.439168353e2,1.664212796e3,2.058076580e4,2.838261883e3,-5.242e-14,34.109363,2.758169
9,0.000563,1.439064332e2,1.664438313e3,2.058612485e4,2.828351852e3,-7.456e-13,33.985661,2.747823
10,0.000625,1.438960298e2,1.664662557e3,2.059146149e4,2.818413921e3,-6.983e-13,33.861685,2.737459
11,0.000687,1.438856250e2,1.664885523e3,2.059677565e4,2.808448330e3,3.456e-14,33.737435,2.727076
12,0.000750,1.438752187e2,1.665107208e3,2.060206727e4,2.798455322e3,-5.346e-13,33.612915,2.716674
13,0.000813,1.438648111e2,1.665327610e3,2.060733629e4,2.788435136e3,-3.872e-13,33.488127,2.706255
14,0.000875,1.438544021e2,1.665546724e3,2.061258262e4,2.778388015e3,-5.861e-13,33.363075,2.695817
15,0.000937,1.438439918e2,1.665764548e3,2.061780622e4,2.768314200e3,2.611e-13,33.237761,2.685363
16,0.001000,1.438335801e2,1.665981079e3,2.062300701e4,2.758213934e3,-4.332e-13,33.112188,2.674890
17,0.001063,1.438231670e2,1.666196313e3,2.062818494e4,2.748087457e3,-5.216e-13,32.986359,2.664401
18,0.001125,1.438127526e2,1.666410247e3,2.063333994e4,2.737935013e3,-5.223e-13,32.860276,2.653894
19,0.001187,1.438023369e2,1.666622879e3,2.063847194e4,2.727756843e3,-9.172e-13,32.733942,2.643371
20,0.001250,1.437919198e2,1.666834205e3,2.064358089e4,2.717553190e3,-3.107e-13,32.607360,2.632831
21,0.001313,1.437815015e2,1.667044222e3,2.064866672e4,2.707324297e3,-5.151e-13,32.480534,2.622275
22,0.001375,1.437710818e2,1.667252926e3,2.065372938e4,2.697070405e3,-4.988e-13,32.353464,2.611703
23,0.001437,1.437606608e2,1.667460317e3,2.065876879e4,2.686791758e3,-2.571e-13,32.226155,2.601115
24,0.001500,1.437502385e2,1.667666389e3,2.066378491e4,2.676488598e3,2.635e-14,32.098609,2.590511
25,0.001563,1.437398150e2,1.667871140e3,2.066877768e4,2.666161168e3,-2.368e-13,31.970829,2.579892
26,0.001625,1.437293902e2,1.668074568e3,2.067374703e4,2.655809712e3,-4.197e-13,31.842818,2.569258
27,0.001687,1.437189641e2,1.668276670e3,2.067869290e4,2.645434471e3,1.124e-13,31.714577,2.558609
28,0.001750,1.437085367e2,1.668477442e3,2.068361525e4,2.635035690e3,-5.138e-13,31.586111,2.547945
29,0.001813,1.436981081e2,1.668676883e3,2.068851400e4,2.624613611e3,-2.662e-13,31.457422,2.537266
