== scout: M=8 ic=adv nu=0.05 dt=0.00025 steps=24000 lambda=-0.05 E0=144 engine=fft modes=2109 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,6.931937194e3,3.541327369e5,7.286794014e4,-1.782e-11,210.238316,4.115290
40,0.010000,1.370398996e2,6.587658024e3,3.458960470e5,-3.893727455e4,1.398e-10,-118.212799,-2.251386
80,0.020000,1.309413123e2,5.699694040e3,2.841292320e5,-1.774748984e4,1.931e-10,-62.275237,-1.249255
120,0.030000,1.255214039e2,5.168391578e3,2.504965657e5,-1.064685175e4,1.917e-10,-41.199865,-0.850060
160,0.040000,1.205732692e2,4.739662522e3,2.254823880e5,-8.132000679e3,1.682e-10,-34.314682,-0.721298
200,0.050000,1.160041020e2,4.424765599e3,2.072349351e5,-1.477065642e3,1.360e-10,-6.676357,-0.142550
240,0.060000,1.116805624e2,4.233347704e3,1.983347597e5,1.450616432e3,1.350e-10,6.853283,0.146280
280,0.070000,1.075321517e2,4.062807876e3,1.901410333e5,9.087525782e2,1.514e-10,4.473520,0.095587
320,0.080000,1.035549328e2,3.891999413e3,1.806562612e5,5.348723031e2,1.468e-10,2.748573,0.059214
360,0.090000,9.974762875e1,3.723047889e3,1.709946583e5,1.732976222e2,1.272e-10,0.930945,0.020269
400,0.100000,9.610863792e1,3.553895750e3,1.618780863e5,-5.921349600e2,1.065e-10,-3.332315,-0.073158
440,0.110000,9.264380855e1,3.374118027e3,1.526026460e5,-1.510678411e3,8.712e-11,-8.954508,-0.197988
480,0.120000,8.935908825e1,3.198639768e3,1.438120126e5,-9.776873587e2,8.310e-11,-6.113145,-0.135967
520,0.130000,8.623678685e1,3.051202753e3,1.368959515e5,2.276671385e2,9.144e-11,1.492311,0.033261
560,0.140000,8.324784942e1,2.930040839e3,1.315759595e5,9.759231974e2,1.015e-10,6.661499,0.148344
600,0.150000,8.037183057e1,2.823612068e3,1.270078195e5,1.232729417e3,1.045e-10,8.731578,0.194119
640,0.160000,7.759885277e1,2.722642778e3,1.224652018e5,1.103772123e3,1.040e-10,8.108094,0.180259
680,0.170000,7.492620785e1,2.623028275e3,1.175902890e5,9.785121528e2,1.019e-10,7.460935,0.166427
720,0.180000,7.235113269e1,2.528348307e3,1.128404048e5,1.105021546e3,1.033e-10,8.741055,0.195856
760,0.190000,6.986667147e1,2.442063852e3,1.086937396e5,1.342089007e3,1.054e-10,10.991433,0.246949
800,0.200000,6.746419481e1,2.364120981e3,1.052168711e5,1.536350005e3,1.066e-10,12.997220,0.292035
840,0.210000,6.513646778e1,2.292059117e3,1.022342276e5,1.605630615e3,1.069e-10,14.010377,0.314108
880,0.220000,6.287907932e1,2.223006476e3,9.952746934e4,1.557138861e3,1.052e-10,14.009306,0.312906
920,0.230000,6.069025863e1,2.154562773e3,9.685202676e4,1.402686990e3,1.015e-10,13.020618,0.289656
960,0.240000,5.857032659e1,2.085050494e3,9.397515606e4,1.184862923e3,9.781e-11,11.365316,0.252165
1000,0.250000,5.652064246e1,2.014122389e3,9.080986992e4,9.686137165e2,9.581e-11,9.618221,0.213328
1040,0.260000,5.454230076e1,1.942553901e3,8.743157156e4,7.978705602e2,9.677e-11,8.214656,0.182513
1080,0.270000,5.263530585e1,1.871683081e3,8.400335234e4,7.008254975e2,9.949e-11,7.488720,0.166857
1120,0.280000,5.079815152e1,1.803161764e3,8.071891732e4,6.971655961e2,1.032e-10,7.732702,0.172739
1160,0.290000,4.902765722e1,1.738589617e3,7.775017949e4,7.765997229e2,1.067e-10,8.933675,0.199768
1200,0.300000,4.731935821e1,1.678816296e3,7.517780642e4,8.892896761e2,1.086e-10,10.594246,0.236583
1240,0.310000,4.566853049e1,1.623492181e3,7.295429552e4,9.735012166e2,1.083e-10,11.992681,0.266880
1280,0.320000,4.407131828e1,1.571326993e3,7.093900369e4,9.912555322e2,1.052e-10,12.616795,0.279467
1320,0.330000,4.252534375e1,1.520771208e3,6.897249645e4,9.380704981e2,9.916e-11,12.336774,0.272013
1360,0.340000,4.102966605e1,1.470562174e3,6.693277407e4,8.299166492e2,8.995e-11,11.287066,0.247985
1400,0.350000,3.958436447e1,1.419935491e3,6.475364176e4,6.897487577e2,7.823e-11,9.715213,0.213038
1440,0.360000,3.819001999e1,1.368650893e3,6.242169372e4,5.427773225e2,6.490e-11,7.931567,0.173907
1480,0.370000,3.684720101e1,1.316964864e3,5.996802764e4,4.136867422e2,5.134e-11,6.282426,0.137969
1520,0.380000,3.555601071e1,1.265523130e3,5.745521282e4,3.202794099e2,3.862e-11,5.061613,0.111488
1560,0.390000,3.431580272e1,1.215133386e3,5.495692877e4,2.673205977e2,2.715e-11,4.399856,0.097284
1600,0.400000,3.312515760e1,1.166492084e3,5.253594819e4,2.465453381e2,1.745e-11,4.227124,0.093858
1640,0.410000,3.198209843e1,1.120000047e3,5.023030757e4,2.431642723e2,9.541e-12,4.342219,0.096820
1680,0.420000,3.088441048e1,1.075742147e3,4.805235420e4,2.440540350e2,3.448e-12,4.537408,0.101578
1720,0.430000,2.982990844e1,1.033599807e3,4.599743948e4,2.426827103e2,-1.604e-12,4.695874,0.105520
1760,0.440000,2.881656357e1,9.934013048e2,4.405506179e4,2.390473020e2,-5.765e-12,4.812704,0.108522
1800,0.450000,2.784250000e1,9.550227861e2,4.221642679e4,2.362434076e2,-9.349e-12,4.947388,0.111920
1840,0.460000,2.690593047e1,9.184078705e2,4.047636547e4,2.367256737e2,-1.232e-11,5.155132,0.116970
1880,0.470000,2.600510510e1,8.835296589e2,3.883129453e4,2.404714329e2,-1.457e-11,5.443426,0.123854
1920,0.480000,2.513830719e1,8.503417024e2,3.727636542e4,2.453439774e2,-1.606e-11,5.770480,0.131635
1960,0.490000,2.430388844e1,8.187520714e2,3.580408672e4,2.485895322e2,-1.658e-11,6.072401,0.138861
2000,0.500000,2.350031423e1,7.886283464e2,3.440493053e4,2.482270335e2,-1.630e-11,6.295159,0.144297
2040,0.510000,2.272619276e1,7.598219961e2,3.306913379e4,2.436795666e2,-1.529e-11,6.414122,0.147376
2080,0.520000,2.198027729e1,7.321954944e2,3.178855803e4,2.356475523e2,-1.394e-11,6.436739,0.148259
2120,0.530000,2.126144502e1,7.056404357e2,3.055780092e4,2.255516581e2,-1.243e-11,6.392821,0.147623
2160,0.540000,2.056866434e1,6.800825923e2,2.937428609e4,2.148949608e2,-1.104e-11,6.319672,0.146315
2200,0.550000,1.990096298e1,6.554758620e2,2.823750099e4,2.047816841e2,-9.972e-12,6.248336,0.145042
2240,0.560000,1.925740564e1,6.317901615e2,2.714780408e4,1.956989304e2,-9.410e-12,6.195061,0.144173
2280,0.570000,1.863708446e1,6.089988158e2,2.610526971e4,1.875542624e2,-9.332e-12,6.159429,0.143691
2320,0.580000,1.803912053e1,5.870695601e2,2.510891621e4,1.798824978e2,-9.780e-12,6.128149,0.143282
2360,0.590000,1.746267171e1,5.659609174e2,2.415645201e4,1.721061624e2,-1.061e-11,6.081910,0.142493
2400,0.600000,1.690694158e1,5.456235090e2,2.324447762e4,1.637545996e2,-1.177e-11,6.002476,0.140898
2440,0.610000,1.637118524e1,5.260045295e2,2.236896873e4,1.545932277e2,-1.311e-11,5.878019,0.138221
2480,0.620000,1.585471002e1,5.070533019e2,2.152584619e4,1.446585304e2,-1.454e-11,5.705851,0.134405
2520,0.630000,1.535687071e1,4.887262120e2,2.071148182e4,1.342205899e2,-1.600e-11,5.492670,0.129610
2560,0.640000,1.487706077e1,4.709899859e2,1.992305241e4,1.237032819e2,-1.737e-11,5.252905,0.124181
2600,0.650000,1.441470114e1,4.538229198e2,1.915871092e4,1.135898858e2,-1.866e-11,5.005912,0.118578
2640,0.660000,1.396922892e1,4.372141778e2,1.841758517e4,1.043353124e2,-1.987e-11,4.772732,0.113300
2680,0.670000,1.354008746e1,4.211615930e2,1.769963888e4,9.629870046e1,-2.095e-11,4.573005,0.108814
2720,0.680000,1.312671924e1,4.056685751e2,1.700544228e4,8.970300252e1,-2.191e-11,4.422477,0.105499
2760,0.690000,1.272856191e1,3.907407400e2,1.633590189e4,8.462202871e1,-2.276e-11,4.331365,0.103603
2800,0.700000,1.234504775e1,3.763827970e2,1.569199380e4,8.099087806e1,-2.349e-11,4.303644,0.103226
2840,0.710000,1.197560585e1,3.625960731e2,1.507453490e4,7.863307135e1,-2.410e-11,4.337227,0.104326
2880,0.720000,1.161966636e1,3.493768847e2,1.448401402e4,7.729688491e1,-2.460e-11,4.424843,0.106734
2920,0.730000,1.127666598e1,3.367158037e2,1.392049264e4,7.669392129e1,-2.500e-11,4.555410,0.110189
2960,0.740000,1.094605370e1,3.245977337e2,1.338357348e4,7.653432468e1,-2.530e-11,4.715641,0.114371
3000,0.750000,1.062729615e1,3.130026250e2,1.287242747e4,7.655483361e1,-2.551e-11,4.891642,0.118944
3040,0.760000,1.031988206e1,3.019066118e2,1.238586408e4,7.653774842e1,-2.563e-11,5.070293,0.123589
3080,0.770000,1.002332533e1,2.912833495e2,1.192242788e4,7.632062284e1,-2.568e-11,5.240301,0.128029
3120,0.780000,9.737166933e0,2.811053598e2,1.148050515e4,7.579785031e1,-2.564e-11,5.392843,0.132046
3160,0.790000,9.460975337e0,2.713452362e2,1.105842690e4,7.491615250e1,-2.551e-11,5.521833,0.135492
3200,0.800000,9.194345978e0,2.619766212e2,1.065455836e4,7.366624979e1,-2.531e-11,5.623880,0.138281
3240,0.810000,8.936899816e0,2.529749157e2,1.026736944e4,7.207279203e1,-2.501e-11,5.698019,0.140392
3280,0.820000,8.688281336e0,2.443177238e2,9.895483789e3,7.018413895e1,-2.462e-11,5.745317,0.141851
3320,0.830000,8.448156219e0,2.359850616e2,9.537707082e3,6.806300799e1,-2.412e-11,5.768417,0.142724
3360,0.840000,8.216208913e0,2.279593741e2,9.193036950e3,6.577851106e1,-2.353e-11,5.771073,0.143105
3400,0.850000,7.992140254e0,2.202254058e2,8.860657805e3,6.339975585e1,-2.283e-11,5.757715,0.143104
3440,0.860000,7.775665277e0,2.127699703e2,8.539924365e3,6.099099244e1,-2.204e-11,5.733045,0.142837
3480,0.870000,7.566511289e0,2.055816580e2,8.230337568e3,5.860819964e1,-2.118e-11,5.701695,0.142420
3520,0.880000,7.364416250e0,1.986505153e2,7.931516322e3,5.629697590e1,-2.024e-11,5.667942,0.141958
3560,0.890000,7.169127484e0,1.919677222e2,7.643168061e3,5.409158578e1,-1.926e-11,5.635488,0.141542
3600,0.900000,6.980400692e0,1.855252904e2,7.365060529e3,5.201499660e1,-1.823e-11,5.607321,0.141248
3640,0.910000,6.797999261e0,1.793157973e2,7.096996637e3,5.007971755e1,-1.719e-11,5.585645,0.141129
3680,0.920000,6.621693812e0,1.733321658e2,6.838793569e3,4.828923170e1,-1.614e-11,5.571872,0.141221
3720,0.930000,6.451261943e0,1.675674954e2,6.590266761e3,4.663979902e1,-1.511e-11,5.566688,0.141541
