== scout: M=8 ic=null nu=0.05 dt=0.00025 steps=24000 lambda=0.05 E0=144 engine=fft modes=2109 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,6.931937194e3,3.541327369e5,-2.185563415e3,-1.081e-11,-6.305780,-0.123432
40,0.010000,1.372902724e2,6.472834943e3,3.274108308e5,-8.284926500e3,5.647e-11,-25.599066,-0.506088
80,0.020000,1.310543181e2,6.017347055e3,3.007024032e5,-4.861767620e3,7.498e-11,-16.159173,-0.323361
120,0.030000,1.252265114e2,5.644448407e3,2.801245663e5,-3.896713547e3,6.635e-11,-13.807243,-0.278213
160,0.040000,1.197612446e2,5.283083885e3,2.599065813e5,-5.709360154e3,8.566e-11,-21.613740,-0.439339
200,0.050000,1.146660317e2,4.911876855e3,2.379888126e5,-5.414206097e3,9.160e-11,-22.045366,-0.454997
240,0.060000,1.099111284e2,4.612916598e3,2.206770866e5,-1.943975627e3,8.637e-11,-8.428401,-0.176183
280,0.070000,1.054225189e2,4.367659968e3,2.071521124e5,-1.517565654e3,7.844e-11,-6.949102,-0.146517
320,0.080000,1.011709329e2,4.139087311e3,1.948606994e5,-1.064739949e3,7.386e-11,-5.144805,-0.109282
360,0.090000,9.713490263e1,3.937630074e3,1.844236879e5,-2.146201636e2,7.266e-11,-1.090098,-0.023275
400,0.100000,9.328919082e1,3.755504711e3,1.752122687e5,-1.504680159e2,6.894e-11,-0.801320,-0.017176
440,0.110000,8.962245202e1,3.578143488e3,1.662180966e5,-5.416697604e2,6.934e-11,-3.027658,-0.065176
480,0.120000,8.613274808e1,3.401450046e3,1.571388736e5,-9.355898036e2,6.469e-11,-5.501123,-0.119078
520,0.130000,8.281843955e1,3.228251441e3,1.480776909e5,-1.060961396e3,6.158e-11,-6.572979,-0.143298
560,0.140000,7.967277644e1,3.065410992e3,1.395156924e5,-7.930820970e2,5.695e-11,-5.174393,-0.113691
600,0.150000,7.668228217e1,2.918327099e3,1.319345934e5,-3.527684462e2,4.928e-11,-2.417607,-0.053476
640,0.160000,7.383108316e1,2.786245971e3,1.253524233e5,-2.973998303e1,4.776e-11,-0.213477,-0.004745
680,0.170000,7.110619882e1,2.664974374e3,1.194731911e5,1.132561377e2,4.146e-11,0.849960,0.018959
720,0.180000,6.849875275e1,2.550909708e3,1.140112199e5,1.393124714e2,3.825e-11,1.092257,0.024438
760,0.190000,6.600260774e1,2.442216952e3,1.088165223e5,1.316600383e2,3.671e-11,1.078201,0.024199
800,0.200000,6.361261728e1,2.338650494e3,1.038721344e5,1.503918186e2,3.774e-11,1.286142,0.028957
840,0.210000,6.132345879e1,2.240614826e3,9.921095471e4,2.013898619e2,3.860e-11,1.797630,0.040598
880,0.220000,5.912949064e1,2.148257765e3,9.484191530e4,2.637039586e2,3.994e-11,2.455050,0.055609
920,0.230000,5.702511030e1,2.061400736e3,9.075313910e4,3.287203335e2,3.827e-11,3.189291,0.072443
960,0.240000,5.500492046e1,1.979852356e3,8.694135989e4,4.001309994e2,3.787e-11,4.042029,0.092046
1000,0.250000,5.306368384e1,1.903463998e3,8.341236222e4,4.763903724e2,3.597e-11,5.005510,0.114225
1040,0.260000,5.119636729e1,1.831940978e3,8.016011108e4,5.450959930e2,3.465e-11,5.951021,0.136002
1080,0.270000,4.939836804e1,1.764712233e3,7.715261793e4,5.910437757e2,3.202e-11,6.698472,0.153214
1120,0.280000,4.766576878e1,1.701005813e3,7.433632570e4,6.061740046e2,2.952e-11,7.127242,0.163090
1160,0.290000,4.599544182e1,1.640049377e3,7.165279011e4,5.925752416e2,2.926e-11,7.226310,0.165402
1200,0.300000,4.438495641e1,1.581242267e3,6.905524522e4,5.591663128e2,2.720e-11,7.072494,0.161948
1240,0.310000,4.283236193e1,1.524229303e3,6.651776686e4,5.172556199e2,2.759e-11,6.787110,0.155524
1280,0.320000,4.133594125e1,1.468891862e3,6.403643714e4,4.772350524e2,2.533e-11,6.497892,0.149051
1320,0.330000,3.989400314e1,1.415281850e3,6.162387069e4,4.458542182e2,2.544e-11,6.300571,0.144702
1360,0.340000,3.850476206e1,1.363516743e3,5.929896693e4,4.244639288e2,2.547e-11,6.226017,0.143161
1400,0.350000,3.716632808e1,1.313672663e3,5.707590112e4,4.096543207e2,2.482e-11,6.236779,0.143547
1440,0.360000,3.587678352e1,1.265725024e3,5.495748624e4,3.962415877e2,2.472e-11,6.261101,0.144199
1480,0.370000,3.463428375e1,1.219559145e3,5.293541135e4,3.805321349e2,2.410e-11,6.240487,0.143772
1520,0.380000,3.343712088e1,1.175027259e3,5.099547434e4,3.617725950e2,2.322e-11,6.157689,0.141884
1560,0.390000,3.228372636e1,1.132005780e3,4.912361468e4,3.414261653e2,2.246e-11,6.032234,0.139007
1600,0.400000,3.117263104e1,1.090420549e3,4.730953335e4,3.214493535e2,2.157e-11,5.895878,0.135892
1640,0.410000,3.010241798e1,1.050237663e3,4.554722564e4,3.029612683e2,2.065e-11,5.769385,0.133032
1680,0.420000,2.907169446e1,1.011438277e3,4.383366710e4,2.859466132e2,1.965e-11,5.654257,0.130469
1720,0.430000,2.807908822e1,9.739980703e2,4.216730290e4,2.697772433e2,1.886e-11,5.539585,0.127956
1760,0.440000,2.712325710e1,9.378813333e2,4.054728753e4,2.539287884e2,1.802e-11,5.414945,0.125251
1800,0.450000,2.620289809e1,9.030471521e2,3.897347658e4,2.383810563e2,1.685e-11,5.279482,0.122330
1840,0.460000,2.531674762e1,8.694588564e2,3.744665259e4,2.235710639e2,1.592e-11,5.142764,0.119408
1880,0.470000,2.446357422e1,8.370893409e2,3.596851769e4,2.100866463e2,1.496e-11,5.019456,0.116817
1920,0.480000,2.364216887e1,8.059201543e2,3.454133380e4,1.983699416e2,1.415e-11,4.922819,0.114859
1960,0.490000,2.285133866e1,7.759366631e2,3.316738324e4,1.885860539e2,1.343e-11,4.860862,0.113718
2000,0.500000,2.208990560e1,7.471228473e2,3.184849220e4,1.806543906e2,1.281e-11,4.836002,0.113446
