== scout: M=2 ic=adv nu=0.05 dt=0.001 steps=6000 lambda=0.05 E0=144 engine=fft modes=33 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.357101449e2,1.453217391e3,-1.165407202e2,3.568e-14,-5.349461,-1.603899
10,0.010000,1.435662360e2,4.317652734e2,1.433232309e3,-1.333213805e2,1.522e-13,-6.175642,-1.860429
20,0.020000,1.431365683e2,4.275241792e2,1.411462571e3,-1.481872036e2,1.143e-13,-6.932343,-2.099768
30,0.030000,1.427112718e2,4.230308442e2,1.388181840e3,-1.607302671e2,1.386e-13,-7.598986,-2.315695
40,0.040000,1.422905734e2,4.183373507e2,1.363705206e3,-1.705212076e2,2.380e-13,-8.152330,-2.500851
50,0.050000,1.418746438e2,4.135040957e2,1.338389977e3,-1.771285487e2,2.245e-13,-8.567197,-2.646890
60,0.060000,1.414635891e2,4.085994972e2,1.312634133e3,-1.801500677e2,2.102e-13,-8.817929,-2.744863
70,0.070000,1.410574435e2,4.036989666e2,1.286871147e3,-1.792546971e2,2.453e-13,-8.880612,-2.785900
80,0.080000,1.406561630e2,3.988829754e2,1.261560093e3,-1.742311423e2,2.207e-13,-8.735953,-2.762154
90,0.090000,1.402596218e2,3.942341439e2,1.237170526e3,-1.650371066e2,2.783e-13,-8.372543,-2.667977
100,0.100000,1.398676119e2,3.898334214e2,1.214162317e3,-1.518412505e2,2.948e-13,-7.790058,-2.501169
110,0.110000,1.394798472e2,3.857555940e2,1.192961618e3,-1.350493137e2,3.825e-13,-7.001807,-2.264102
120,0.120000,1.390959716e2,3.820645194e2,1.173935007e3,-1.153067172e2,4.380e-13,-6.035981,-1.964448
130,0.130000,1.387155729e2,3.788086145e2,1.157364665e3,-9.347264446e1,4.233e-13,-4.935085,-1.615267
140,0.140000,1.383381994e2,3.760171809e2,1.143427769e3,-7.056489272e1,4.345e-13,-3.753280,-1.234269
150,0.150000,1.379633808e2,3.736981087e2,1.132183173e3,-4.767996504e1,3.951e-13,-2.551791,-0.842266
160,0.160000,1.375906501e2,3.718373606e2,1.123567690e3,-2.589783376e1,4.015e-13,-1.392966,-0.460993
170,0.170000,1.372195646e2,3.704004061e2,1.117403068e3,-6.184302348e0,4.843e-13,-0.333925,-0.110691
180,0.180000,1.368497252e2,3.693355029e2,1.113413261e3,1.069505757e1,5.129e-13,0.579151,0.192113
190,0.190000,1.364807909e2,3.685784583e2,1.111250097e3,2.423719507e1,5.120e-13,1.315172,0.436215
200,0.200000,1.361124893e2,3.680582981e2,1.110524303e3,3.423211808e1,4.594e-13,1.860147,0.616504
210,0.210000,1.357446194e2,3.677031727e2,1.110838210e3,4.075932880e1,4.110e-13,2.216969,0.733848
220,0.220000,1.353770504e2,3.674458424e2,1.111816501e3,4.415346481e1,4.916e-13,2.403264,0.794258
