== scout: M=16 ic=null nu=0.05 dt=0.000125 steps=48000 lambda=0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,-7.363383526e3,8.754e-11,-5.201345,-0.025054
80,0.010000,1.193094309e2,2.168078869e4,4.366741349e6,-9.031789403e4,8.072e-10,-83.316060,-0.413663
160,0.020000,9.997295016e1,1.737269812e4,3.419022879e6,-1.552694302e4,8.321e-10,-17.875108,-0.090827
240,0.030000,8.431160320e1,1.417199738e4,2.728298316e6,-1.645861977e3,9.970e-10,-2.322696,-0.012065
320,0.040000,7.152701959e1,1.147931955e4,2.159132978e6,-9.332305285e3,9.321e-10,-16.259335,-0.086445
400,0.050000,6.110743034e1,9.459002197e3,1.744325827e6,-2.013647103e2,1.131e-9,-0.425763,-0.002309
480,0.060000,5.245369817e1,7.910907819e3,1.436860418e6,3.125571902e3,9.708e-10,7.901930,0.043506
560,0.070000,4.518982848e1,6.653253527e3,1.195985511e6,2.296626328e3,1.054e-9,6.903769,0.038406
640,0.080000,3.907670435e1,5.605723469e3,9.935022753e5,1.952985525e3,8.149e-10,6.967827,0.039315
720,0.090000,3.392026440e1,4.735588421e3,8.261697806e5,2.101596164e3,4.782e-10,8.875755,0.050876
800,0.100000,2.955015736e1,4.029054025e3,6.939107729e5,2.814270583e3,2.854e-10,13.969883,0.081113
880,0.110000,2.582121682e1,3.446245781e3,5.864707796e5,2.684668990e3,2.753e-10,15.580253,0.091553
960,0.120000,2.262697921e1,2.955732016e3,4.974504521e5,2.291621653e3,3.852e-10,15.506288,0.092135
1040,0.130000,1.988551272e1,2.538400048e3,4.227785276e5,1.925040071e3,5.062e-10,15.167350,0.091066
1120,0.140000,1.752883481e1,2.185043761e3,3.602085523e5,1.817875337e3,5.538e-10,16.639258,0.100935
