== scout: M=4 ic=adv nu=0.05 dt=0.001 steps=6000 lambda=-0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,2.916508873e3,-1.012e-12,35.088708,2.840235
10,0.010000,1.423244936e2,1.682609048e3,2.111159070e4,1.148856418e3,8.928e-13,13.655655,1.088366
20,0.020000,1.406468256e2,1.667225207e3,2.103494402e4,-4.974085661e2,2.806e-12,-5.966903,-0.472935
30,0.030000,1.389990334e2,1.625012924e3,2.045107457e4,-1.530978931e3,4.103e-12,-18.842668,-1.497211
40,0.040000,1.374012300e2,1.569383290e3,1.959908838e4,-1.941529868e3,4.890e-12,-24.742584,-1.981245
50,0.050000,1.358612207e2,1.510701141e3,1.867070311e4,-1.972293416e3,5.576e-12,-26.110967,-2.112715
60,0.060000,1.343790880e2,1.454128084e3,1.776378970e4,-1.850003302e3,6.203e-12,-25.444847,-2.082893
70,0.070000,1.329516330e2,1.401527163e3,1.691249956e4,-1.668987941e3,6.184e-12,-23.816705,-1.973674
80,0.080000,1.315743955e2,1.353842436e3,1.613183960e4,-1.439760067e3,6.414e-12,-21.269241,-1.784992
90,0.090000,1.302420195e2,1.311932611e3,1.543655441e4,-1.168108458e3,6.538e-12,-17.807446,-1.513432
100,0.100000,1.289484204e2,1.276331629e3,1.483854868e4,-8.787439488e2,6.609e-12,-13.769837,-1.184407
110,0.110000,1.276872651e2,1.246985037e3,1.434115961e4,-6.021936926e2,6.276e-12,-9.658395,-0.839812
120,0.120000,1.264525657e2,1.223279256e3,1.393780731e4,-3.629920039e2,6.163e-12,-5.934737,-0.520874
130,0.130000,1.252391605e2,1.204204131e3,1.361373493e4,-1.774034392e2,5.859e-12,-2.946401,-0.260624
140,0.140000,1.240430262e2,1.188520283e3,1.334891345e4,-5.389365161e1,5.817e-12,-0.906903,-0.080746
150,0.150000,1.228614272e2,1.174917530e3,1.312140707e4,6.758398752e0,5.582e-12,0.115045,0.010301
160,0.160000,1.216929108e2,1.162162432e3,1.291053200e4,1.058875440e1,5.698e-12,0.182225,0.016403
170,0.170000,1.205371701e2,1.149212877e3,1.269906321e4,-3.160544890e1,5.624e-12,-0.550036,-0.049776
180,0.180000,1.193948138e2,1.135287002e3,1.247430490e4,-1.063935086e2,5.876e-12,-1.874302,-0.170580
190,0.190000,1.182670877e2,1.119896617e3,1.222846346e4,-1.990073424e2,6.036e-12,-3.554031,-0.325482
200,0.200000,1.171555722e2,1.102861879e3,1.195884416e4,-2.940065401e2,6.372e-12,-5.331702,-0.491697
210,0.210000,1.160618722e2,1.084312059e3,1.166800042e4,-3.761223306e2,6.642e-12,-6.937529,-0.644707
220,0.220000,1.149873172e2,1.064662473e3,1.136353660e4,-4.318339877e2,6.986e-12,-8.112129,-0.760034
230,0.230000,1.139327017e2,1.044553719e3,1.105714660e4,-4.515337696e2,7.161e-12,-8.645487,-0.816727
240,0.240000,1.128981083e2,1.024749048e3,1.076271806e4,-4.315376028e2,7.395e-12,-8.422308,-0.801912
250,0.250000,1.118828491e2,1.006003177e3,1.049377663e4,-3.750117697e2,7.535e-12,-7.455479,-0.714732
260,0.260000,1.108855411e2,9.889317113e2,1.026092653e4,-2.911957321e2,7.589e-12,-5.889097,-0.567582
270,0.270000,1.099042975e2,9.739154369e2,1.007004157e4,-1.929942043e2,7.544e-12,-3.963264,-0.383304
280,0.280000,1.089369859e2,9.610639683e2,9.921701404e3,-9.375518118e1,7.433e-12,-1.951071,-0.188990
290,0.290000,1.079814911e2,9.502420783e2,9.811881973e3,-4.407004884e0,7.403e-12,-0.092755,-0.008983
300,0.300000,1.070359273e2,9.411404821e2,9.733465035e3,6.813955594e1,7.279e-12,1.448021,0.140011
310,0.310000,1.060987690e2,9.333619147e2,9.677954257e3,1.211184227e2,7.123e-12,2.595315,0.250298
