== scout: M=4 ic=adv nu=0.05 dt=0.0005 steps=12000 lambda=-0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,2.916508873e3,-1.012e-12,35.088708,2.840235
20,0.010000,1.423244935e2,1.682609047e3,2.111159069e4,1.148856408e3,7.821e-13,13.655655,1.088366
40,0.020000,1.406468254e2,1.667225205e3,2.103494400e4,-4.974085825e2,2.828e-12,-5.966903,-0.472935
60,0.030000,1.389990332e2,1.625012921e3,2.045107455e4,-1.530978946e3,4.252e-12,-18.842668,-1.497211
80,0.040000,1.374012298e2,1.569383287e3,1.959908835e4,-1.941529879e3,4.923e-12,-24.742584,-1.981245
100,0.050000,1.358612205e2,1.510701138e3,1.867070306e4,-1.972293423e3,5.410e-12,-26.110968,-2.112715
120,0.060000,1.343790877e2,1.454128080e3,1.776378965e4,-1.850003305e3,5.982e-12,-25.444847,-2.082893
140,0.070000,1.329516327e2,1.401527158e3,1.691249949e4,-1.668987941e3,6.059e-12,-23.816705,-1.973674
160,0.080000,1.315743952e2,1.353842430e3,1.613183952e4,-1.439760064e3,6.227e-12,-21.269241,-1.784992
180,0.090000,1.302420191e2,1.311932605e3,1.543655432e4,-1.168108452e3,6.479e-12,-17.807446,-1.513432
200,0.100000,1.289484200e2,1.276331623e3,1.483854859e4,-8.787439397e2,6.468e-12,-13.769837,-1.184407
220,0.110000,1.276872647e2,1.246985031e3,1.434115953e4,-6.021936785e2,6.468e-12,-9.658395,-0.839812
240,0.120000,1.264525653e2,1.223279251e3,1.393780723e4,-3.629919843e2,6.014e-12,-5.934736,-0.520874
260,0.130000,1.252391601e2,1.204204126e3,1.361373486e4,-1.774034151e2,5.706e-12,-2.946401,-0.260624
280,0.140000,1.240430258e2,1.188520279e3,1.334891338e4,-5.389362558e1,5.568e-12,-0.906903,-0.080746
