== scout: M=2 ic=null nu=0.05 dt=0.001 steps=6000 lambda=0.05 E0=144 engine=fft modes=33 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.357101449e2,1.453217391e3,5.084180086e-1,-3.375e-14,0.023337,0.006997
10,0.010000,1.435650428e2,4.341727931e2,1.448136354e3,-9.191318035e0,4.263e-14,-0.423394,-0.126940
20,0.020000,1.431317179e2,4.324448020e2,1.441775379e3,-1.916744755e1,-4.263e-14,-0.886469,-0.265887
30,0.030000,1.427002189e2,4.305195788e2,1.434087140e3,-2.965381327e1,1.066e-14,-1.377583,-0.413557
40,0.040000,1.422707481e2,4.283861555e2,1.425004389e3,-4.085617576e1,7.105e-15,-1.907446,-0.573418
50,0.050000,1.418435208e2,4.260299840e2,1.414445065e3,-5.293093707e1,-2.132e-14,-2.484846,-0.748434
60,0.060000,1.414187680e2,4.234341232e2,1.402319358e3,-6.596701413e1,-2.487e-14,-3.115810,-0.940827
70,0.070000,1.409967384e2,4.205807322e2,1.388538232e3,-7.997282585e1,5.507e-14,-3.802971,-1.151900
80,0.080000,1.405776981e2,4.174527515e2,1.373022764e3,-9.486981772e1,2.043e-14,-4.545176,-1.381912
90,0.090000,1.401619293e2,4.140356318e2,1.355713528e3,-1.104932310e2,1.084e-13,-5.337378,-1.630038
100,0.100000,1.397497268e2,4.103189669e2,1.336579247e3,-1.266000349e2,1.368e-13,-6.170811,-1.894389
110,0.110000,1.393413929e2,4.062978937e2,1.315623989e3,-1.428831851e2,6.395e-14,-7.033420,-2.172098
120,0.120000,1.389372320e2,4.019741497e2,1.292892302e3,-1.589907459e2,1.013e-13,-7.910496,-2.459458
130,0.130000,1.385375426e2,3.973567115e2,1.268471918e3,-1.745479845e2,1.492e-13,-8.785455,-2.752099
140,0.140000,1.381426110e2,3.924619769e2,1.242493824e3,-1.891803573e2,1.137e-13,-9.640697,-3.045172
150,0.150000,1.377527033e2,3.873134970e2,1.215129805e3,-2.025353631e2,1.812e-13,-10.458472,-3.333559
160,0.160000,1.373680587e2,3.819413007e2,1.186587715e3,-2.143015120e2,1.386e-13,-11.221699,-3.612064
170,0.170000,1.369888835e2,3.763808866e2,1.157104945e3,-2.242230999e2,1.137e-13,-11.914691,-3.875588
180,0.180000,1.366153464e2,3.706719744e2,1.126940647e3,-2.321100148e2,9.237e-14,-12.523742,-4.119294
190,0.190000,1.362475749e2,3.648571206e2,1.096367319e3,-2.378423547e2,1.066e-13,-13.037561,-4.338735
200,0.200000,1.358856529e2,3.589803011e2,1.065662340e3,-2.413701348e2,1.137e-13,-13.447542,-4.529955
210,0.210000,1.355296202e2,3.530855502e2,1.035099964e3,-2.427087555e2,9.948e-14,-13.747872,-4.689571
220,0.220000,1.351794734e2,3.472157339e2,1.004944185e3,-2.419311545e2,1.208e-13,-13.935495,-4.814818
230,0.230000,1.348351669e2,3.414115111e2,9.754427387e2,-2.391576844e2,-7.105e-15,-14.009937,-4.903572
240,0.240000,1.344966159e2,3.357105156e2,9.468224075e2,-2.345447474e2,6.395e-14,-13.973035,-4.954356
250,0.250000,1.341637001e2,3.301467757e2,9.192856594e2,-2.282731294e2,8.527e-14,-13.828585,-4.966315
260,0.260000,1.338362666e2,3.247503641e2,8.930085676e2,-2.205368319e2,4.974e-14,-13.581930,-4.939187
270,0.270000,1.335141348e2,3.195472642e2,8.681398840e2,-2.115330407e2,6.395e-14,-13.239546,-4.873248
280,0.280000,1.331971002e2,3.145594201e2,8.448010929e2,-2.014537148e2,7.105e-14,-12.808627,-4.769258
290,0.290000,1.328849382e2,3.098049362e2,8.230872378e2,-1.904791409e2,9.237e-14,-12.296714,-4.628407
300,0.300000,1.325774077e2,3.052983833e2,8.030683053e2,-1.787736664e2,-7.105e-15,-11.711406,-4.452266
