== scout: M=8 ic=adv nu=0.05 dt=0.0005 steps=200 lambda=-0.05 E0=144 engine=fft modes=2109 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,6.931937194e3,3.541327369e5,7.286794014e4,-1.782e-11,210.238316,4.115290
1,0.000500,1.436520837e2,6.983566389e3,3.590614926e5,6.588927737e4,-6.402e-12,188.698077,3.670083
2,0.001000,1.433017740e2,7.027528345e3,3.634325125e5,5.803902400e4,9.907e-12,165.176207,3.193937
3,0.001500,1.429494734e2,7.063102277e3,3.671843927e5,4.956073322e4,2.333e-11,140.337011,2.699501
4,0.002000,1.425956140e2,7.089814481e3,3.702743982e5,4.069800687e4,3.368e-11,114.806973,2.198262
5,0.002500,1.422406456e2,7.107432403e3,3.726780420e5,3.168472951e4,5.274e-11,89.159426,1.700381
6,0.003000,1.418850241e2,7.115950000e3,3.743880276e5,2.273732479e4,6.119e-11,63.905240,1.214640
7,0.003500,1.415292003e2,7.115566379e3,3.754127077e5,1.404891558e4,6.989e-11,39.487835,0.748452
8,0.004000,1.411736106e2,7.106659570e3,3.757741956e5,5.785215513e3,7.923e-11,16.281111,0.307909
9,0.004500,1.408186684e2,7.089757086e3,3.755062489e5,-1.918025864e3,8.532e-11,-5.410696,-0.102157
10,0.005000,1.404647579e2,7.065504733e3,3.746520291e5,-8.956184725e3,9.807e-11,-25.351861,-0.478107
11,0.005500,1.401122286e2,7.034635023e3,3.732618287e5,-1.525566978e4,1.056e-10,-43.373024,-0.817425
12,0.006000,1.397613919e2,6.997936365e3,3.713908463e5,-2.077269976e4,1.051e-10,-59.368073,-1.118644
13,0.006500,1.394125189e2,6.956224091e3,3.690970827e5,-2.549108003e4,1.190e-10,-73.289991,-1.381267
14,0.007000,1.390658398e2,6.910314255e3,3.664394203e5,-2.941912717e4,1.204e-10,-85.145555,-1.605675
15,0.007500,1.387215445e2,6.861000948e3,3.634759391e5,-3.258592367e4,1.219e-10,-94.988833,-1.793017
16,0.008000,1.383797842e2,6.809037675e3,3.602625107e5,-3.503712358e4,1.214e-10,-102.913584,-1.945089
17,0.008500,1.380406736e2,6.755123114e3,3.568516930e5,-3.683056232e4,1.250e-10,-109.044829,-2.064194
18,0.009000,1.377042942e2,6.699891299e3,3.532919338e5,-3.803193955e4,1.306e-10,-113.530020,-2.153004
19,0.009500,1.373706975e2,6.643906004e3,3.496270714e5,-3.871083475e4,1.282e-10,-116.530350,-2.214407
20,0.010000,1.370399085e2,6.587658867e3,3.458961035e5,-3.893727687e4,1.372e-10,-118.212790,-2.251386
21,0.010500,1.367119295e2,6.531570612e3,3.421331804e5,-3.877902521e4,1.379e-10,-118.743339,-2.266896
22,0.011000,1.363867434e2,6.475994585e3,3.383677718e5,-3.829963697e4,1.427e-10,-118.281868,-2.263788
23,0.011500,1.360643171e2,6.421221828e3,3.346249511e5,-3.755730894e4,1.459e-10,-116.978700,-2.244740
24,0.012000,1.357446044e2,6.367486938e3,3.309257447e5,-3.660440217e4,1.485e-10,-114.972838,-2.212243
25,0.012500,1.354275486e2,6.314974104e3,3.272875044e5,-3.548749845e4,1.466e-10,-112.391588,-2.168583
26,0.013000,1.351130848e2,6.263822881e3,3.237242689e5,-3.424780665e4,1.528e-10,-109.351134,-2.115863
27,0.013500,1.348011424e2,6.214133439e3,3.202470976e5,-3.292173502e4,1.549e-10,-105.957606,-2.056021
28,0.014000,1.344916465e2,6.165971210e3,3.168643692e5,-3.154147132e4,1.588e-10,-102.308202,-1.990850
29,0.014500,1.341845197e2,6.119370988e3,3.135820494e5,-3.013545714e4,1.610e-10,-98.492009,-1.922014
30,0.015000,1.338796837e2,6.074340619e3,3.104039376e5,-2.872869659e4,1.656e-10,-94.590338,-1.851052
31,0.015500,1.335770602e2,6.030864459e3,3.073319048e5,-2.734289245e4,1.686e-10,-90.676528,-1.779372
32,0.016000,1.332765723e2,5.988906758e3,3.043661323e5,-2.599644607e4,1.709e-10,-86.815331,-1.708235
33,0.016500,1.329781454e2,5.948415074e3,3.015053598e5,-2.470438468e4,1.755e-10,-83.062074,-1.638736
34,0.017000,1.326817077e2,5.909323749e3,2.987471419e5,-2.347829026e4,1.768e-10,-79.461851,-1.571783
35,0.017500,1.323871912e2,5.871557417e3,2.960881105e5,-2.232629773e4,1.773e-10,-76.048980,-1.508085
36,0.018000,1.320945315e2,5.835034444e3,2.935242339e5,-2.125321143e4,1.822e-10,-72.846910,-1.448140
37,0.018500,1.318036687e2,5.799670170e3,2.910510607e5,-2.026076300e4,1.853e-10,-69.868673,-1.392248
38,0.019000,1.315145468e2,5.765379807e3,2.886639395e5,-1.934800634e4,1.872e-10,-67.117890,-1.340521
39,0.019500,1.312271144e2,5.732080879e3,2.863582012e5,-1.851182204e4,1.867e-10,-64.590233,-1.292914
40,0.020000,1.309413237e2,5.699695113e3,2.841293006e5,-1.774748669e4,1.901e-10,-62.275214,-1.249254
41,0.020500,1.306571310e2,5.668149737e3,2.819729125e5,-1.704925587e4,1.919e-10,-60.158100,-1.209283
