M,n_modes,gamma,field,seed,sum_T,sum_absT,sum_A,r_cons,Pi_half,A_half,D_a,shell_n,shell_A,shell_absT,shell_sumT,D_b1,D_b2,secs
4,256,0.000000,random,2,7.4162898045e-14,1.4293256493e3,1.3249270770e4,5.189e-17,8.6149927453e0,1.1881817567e4,1.379202e3,134,6.8669139737e3,7.2423811270e2,-3.2001117922e1,9.481569e0,2.145836e2,0.00
4,256,0.000000,random,3,1.1546319456e-14,1.4943454239e3,1.3220996163e4,7.727e-18,-2.2347680670e0,1.1841083260e4,5.298574e3,134,6.9453064467e3,7.5722272389e2,-2.1812200104e1,9.172079e0,3.184138e2,0.00
4,256,0.000000,locked_plus,0,7.4162898045e-14,2.7474402749e2,2.7922002445e4,2.699e-16,-4.6629367034e-14,2.5430173085e4,5.453682e17,134,1.5085981944e4,1.6005209606e2,-1.2745360323e-13,9.425670e1,1.183645e17,0.00
4,256,0.000000,locked_quad,0,3.8369307731e-13,5.0961763092e3,1.5208313506e4,7.529e-17,-1.8894078616e1,1.3730059611e4,7.266859e2,134,8.1968262441e3,3.1684784163e3,1.5430545674e2,2.586991e0,5.312078e1,0.00
4,256,0.000000,arith,0,-2.8421709430e-14,5.9345059349e3,1.9413168835e4,4.789e-18,4.3543278139e1,1.7685444572e4,4.061579e2,134,1.0560018872e4,2.9972983397e3,-1.9220186722e1,3.523179e0,5.494233e2,0.00
4,256,1.833333,random,1,-1.5480238619e-15,1.4516782418e1,9.8991409152e1,1.066e-16,-1.4232166129e0,6.3310240329e1,4.448391e1,134,2.3882378592e1,3.5218317025e0,-6.5347392072e-2,6.781238e0,3.654680e2,0.00
4,256,1.833333,random,2,-1.4190038033e-15,1.6861716879e1,1.0351868513e2,8.416e-17,-2.3079515270e-1,6.5262525866e1,2.827725e2,134,2.4259084656e1,3.1182679934e0,-2.7570858296e-1,7.779666e0,8.798814e1,0.00
4,256,1.833333,random,3,6.5160550566e-16,1.4105313076e1,1.0225619923e2,4.620e-17,-2.6361514912e-1,6.4286660824e1,2.438656e2,134,2.4233990922e1,3.1916782082e0,-1.9329140922e-2,7.592868e0,1.253754e3,0.01
4,256,1.833333,locked_plus,0,-2.8410433728e-15,2.5187218448e0,2.0260787166e2,1.128e-15,6.6353172956e-17,1.3220941800e2,1.992511e18,134,5.1135938042e1,1.1845567588e0,-5.3733059668e-16,4.316884e1,9.516662e16,0.01
4,256,1.833333,locked_quad,0,-3.0114799543e-15,2.8596142452e1,1.2443685648e2,1.053e-16,-4.9778526478e-1,8.0454700123e1,1.616253e2,134,3.1254044013e1,9.3695337800e0,2.8138235107e-1,3.335710e0,1.110732e2,0.00
